Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5232127817,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,1. Column A lists all of your contest entries for this draftgroup
5232127818,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,2. Your current lineup is listed next to each entry (blank for reservations)
5232127819,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5232127820,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5232127821,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,5. For faster processing only include entries you are changing in the file you upload
5232127822,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,
5232127823,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,RP,Justin Bruihl (43947523),Justin Bruihl,43947523,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,2.13
,,,,,,,,,,,,,,,RP,Luis Gastelum (43947525),Luis Gastelum,43947525,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,3.84
,,,,,,,,,,,,,,,RP,George Soriano (43947526),George Soriano,43947526,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,2.86
,,,,,,,,,,,,,,,RP,Yosver Zulueta (43947527),Yosver Zulueta,43947527,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,0
,,,,,,,,,,,,,,,RP,Anthony Nunez (43947531),Anthony Nunez,43947531,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,3.19
,,,,,,,,,,,,,,,RP,Grant Wolfram (43947534),Grant Wolfram,43947534,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,2.45
,,,,,,,,,,,,,,,RP,Peter Strzelecki (43947537),Peter Strzelecki,43947537,P,4000,BAL@STL 08/27/2026 02:15PM ET,STL,2.61
,,,,,,,,,,,,,,,RP,Codi Heuer (43947538),Codi Heuer,43947538,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,1.62
,,,,,,,,,,,,,,,RP,Cam Sanders (43947540),Cam Sanders,43947540,P,4000,BAL@STL 08/27/2026 02:15PM ET,BAL,2.75
,,,,,,,,,,,,,,,2B/3B,Willi Castro (43947369),Willi Castro,43947369,2B/3B,3900,COL@WSH 08/27/2026 01:05PM ET,COL,7.32
,,,,,,,,,,,,,,,C,Samuel Basallo (43947371),Samuel Basallo,43947371,C,3800,BAL@STL 08/27/2026 02:15PM ET,BAL,6.28
,,,,,,,,,,,,,,,C,Harry Ford (43947372),Harry Ford,43947372,C,3700,COL@WSH 08/27/2026 01:05PM ET,WSH,5.32
,,,,,,,,,,,,,,,SS,Masyn Winn (43947416),Masyn Winn,43947416,SS,3700,BAL@STL 08/27/2026 02:15PM ET,STL,6.10
,,,,,,,,,,,,,,,1B,TJ Rumfield (43947373),TJ Rumfield,43947373,1B,3600,COL@WSH 08/27/2026 01:05PM ET,COL,7.10
,,,,,,,,,,,,,,,C,Keibert Ruiz (43947374),Keibert Ruiz,43947374,C,3600,COL@WSH 08/27/2026 01:05PM ET,WSH,6.29
,,,,,,,,,,,,,,,3B,Brady House (43947376),Brady House,43947376,3B,3500,COL@WSH 08/27/2026 01:05PM ET,WSH,6.23
,,,,,,,,,,,,,,,2B,Jackson Holliday (43947375),Jackson Holliday,43947375,2B,3500,BAL@STL 08/27/2026 02:15PM ET,BAL,5.76
,,,,,,,,,,,,,,,2B/SS,Nasim Nunez (43947377),Nasim Nunez,43947377,2B/SS,3400,COL@WSH 08/27/2026 01:05PM ET,WSH,6.01
,,,,,,,,,,,,,,,1B/3B,Coby Mayo (43947379),Coby Mayo,43947379,1B/3B,3400,BAL@STL 08/27/2026 02:15PM ET,BAL,5.88
,,,,,,,,,,,,,,,3B/OF,Jose Fermin (43947381),Jose Fermin,43947381,3B/OF,3300,BAL@STL 08/27/2026 02:15PM ET,STL,4.78
,,,,,,,,,,,,,,,OF,Leody Taveras (43947383),Leody Taveras,43947383,OF,3300,BAL@STL 08/27/2026 02:15PM ET,BAL,5.92
,,,,,,,,,,,,,,,OF,Jacob Young (43947384),Jacob Young,43947384,OF,3200,COL@WSH 08/27/2026 01:05PM ET,WSH,6.06
,,,,,,,,,,,,,,,2B,Adael Amador (43947417),Adael Amador,43947417,2B,3200,COL@WSH 08/27/2026 01:05PM ET,COL,9.2
,,,,,,,,,,,,,,,OF,Dylan Beavers (43947385),Dylan Beavers,43947385,OF,3200,BAL@STL 08/27/2026 02:15PM ET,BAL,5.67
,,,,,,,,,,,,,,,C,Brett Sullivan (43947386),Brett Sullivan,43947386,C,3100,COL@WSH 08/27/2026 01:05PM ET,COL,4.62
,,,,,,,,,,,,,,,2B/OF,Tyler Freeman (43947418),Tyler Freeman,43947418,2B/OF,3100,COL@WSH 08/27/2026 01:05PM ET,COL,5.23
,,,,,,,,,,,,,,,OF,Nathan Church (43947387),Nathan Church,43947387,OF,3100,BAL@STL 08/27/2026 02:15PM ET,STL,5.38
,,,,,,,,,,,,,,,1B,Abimelec Ortiz (43947388),Abimelec Ortiz,43947388,1B,3000,COL@WSH 08/27/2026 01:05PM ET,WSH,5.74
,,,,,,,,,,,,,,,OF,Zac Veen (43947389),Zac Veen,43947389,OF,3000,COL@WSH 08/27/2026 01:05PM ET,COL,5
,,,,,,,,,,,,,,,3B,Kyle Karros (43947420),Kyle Karros,43947420,3B,3000,COL@WSH 08/27/2026 01:05PM ET,COL,6.45
,,,,,,,,,,,,,,,OF,Bryan Torres (43947390),Bryan Torres,43947390,OF,2900,BAL@STL 08/27/2026 02:15PM ET,STL,3.86
,,,,,,,,,,,,,,,OF,Tyler O'Neill (43947391),Tyler O'Neill,43947391,OF,2900,BAL@STL 08/27/2026 02:15PM ET,BAL,4.75
,,,,,,,,,,,,,,,OF,Everson Pereira (43947421),Everson Pereira,43947421,OF,2900,BAL@STL 08/27/2026 02:15PM ET,STL,4.87
,,,,,,,,,,,,,,,2B/OF,Jeremiah Jackson (43947422),Jeremiah Jackson,43947422,2B/OF,2900,BAL@STL 08/27/2026 02:15PM ET,BAL,4.34
,,,,,,,,,,,,,,,1B/OF,Troy Johnston (43947392),Troy Johnston,43947392,1B/OF,2800,COL@WSH 08/27/2026 01:05PM ET,COL,5.9
,,,,,,,,,,,,,,,2B/OF,Jose Tena (43947394),Jose Tena,43947394,2B/OF,2800,COL@WSH 08/27/2026 01:05PM ET,WSH,4.22
,,,,,,,,,,,,,,,OF,Sterlin Thompson (43947424),Sterlin Thompson,43947424,OF,2800,COL@WSH 08/27/2026 01:05PM ET,COL,4.44
,,,,,,,,,,,,,,,C,Drew Millas (43947425),Drew Millas,43947425,C,2700,COL@WSH 08/27/2026 01:05PM ET,WSH,3.72
,,,,,,,,,,,,,,,C,Yohel Pozo (43947396),Yohel Pozo,43947396,C,2700,BAL@STL 08/27/2026 02:15PM ET,BAL,2.31
,,,,,,,,,,,,,,,3B,Blaze Jordan (43947397),Blaze Jordan,43947397,3B,2700,BAL@STL 08/27/2026 02:15PM ET,STL,4.96
,,,,,,,,,,,,,,,3B,Blaze Alexander (43947426),Blaze Alexander,43947426,3B,2700,BAL@STL 08/27/2026 02:15PM ET,BAL,5.78
,,,,,,,,,,,,,,,2B,Connor Norby (43947398),Connor Norby,43947398,2B,2600,COL@WSH 08/27/2026 01:05PM ET,COL,5.80
,,,,,,,,,,,,,,,3B,Nolan Gorman (43947399),Nolan Gorman,43947399,3B,2600,BAL@STL 08/27/2026 02:15PM ET,STL,5.12
,,,,,,,,,,,,,,,1B,Andres Chaparro (43947401),Andres Chaparro,43947401,1B,2500,COL@WSH 08/27/2026 01:05PM ET,WSH,5.74
,,,,,,,,,,,,,,,C,Braxton Fulford (43947427),Braxton Fulford,43947427,C,2500,COL@WSH 08/27/2026 01:05PM ET,COL,2.91
,,,,,,,,,,,,,,,3B,Ramon Urias (43947400),Ramon Urias,43947400,3B,2500,BAL@STL 08/27/2026 02:15PM ET,STL,3.57
,,,,,,,,,,,,,,,OF,Colton Cowser (43947402),Colton Cowser,43947402,OF,2400,BAL@STL 08/27/2026 02:15PM ET,BAL,4.57
,,,,,,,,,,,,,,,C,Jimmy Crooks (43947403),Jimmy Crooks,43947403,C,2400,BAL@STL 08/27/2026 02:15PM ET,STL,3.44
,,,,,,,,,,,,,,,OF,Jordan Beck (43947404),Jordan Beck,43947404,OF,2300,COL@WSH 08/27/2026 01:05PM ET,COL,4.14
,,,,,,,,,,,,,,,2B/3B,Jorbit Vivas (43947405),Jorbit Vivas,43947405,2B/3B,2300,COL@WSH 08/27/2026 01:05PM ET,WSH,3.96
,,,,,,,,,,,,,,,SS,Ezequiel Tovar (43947407),Ezequiel Tovar,43947407,SS,2200,COL@WSH 08/27/2026 01:05PM ET,COL,5.08
,,,,,,,,,,,,,,,OF,Christian Franklin (43947408),Christian Franklin,43947408,OF,2200,BAL@STL 08/27/2026 02:15PM ET,BAL,3.64
,,,,,,,,,,,,,,,OF,Andrew Pinckney (43947409),Andrew Pinckney,43947409,OF,2100,COL@WSH 08/27/2026 01:05PM ET,WSH,4.27
,,,,,,,,,,,,,,,C,Pedro Pages (43947410),Pedro Pages,43947410,C,2100,BAL@STL 08/27/2026 02:15PM ET,STL,3.13
,,,,,,,,,,,,,,,2B/SS,Ryan Ritter (43947412),Ryan Ritter,43947412,2B/SS,2000,COL@WSH 08/27/2026 01:05PM ET,COL,1.7
,,,,,,,,,,,,,,,3B/OF,Kris Bryant (43947435),Kris Bryant,43947435,3B/OF,2000,COL@WSH 08/27/2026 01:05PM ET,COL,0
,,,,,,,,,,,,,,,2B/3B,Chad Stevens (43947438),Chad Stevens,43947438,2B/3B,2000,COL@WSH 08/27/2026 01:05PM ET,COL,1.31
,,,,,,,,,,,,,,,C,Carlos Narvaez (43947411),Carlos Narvaez,43947411,C,2000,BAL@STL 08/27/2026 02:15PM ET,BAL,3.16
,,,,,,,,,,,,,,,OF,Victor Scott II (43947428),Victor Scott II,43947428,OF,2000,BAL@STL 08/27/2026 02:15PM ET,STL,4.08
,,,,,,,,,,,,,,,2B/OF,Thomas Saggese (43947429),Thomas Saggese,43947429,2B/OF,2000,BAL@STL 08/27/2026 02:15PM ET,STL,3.16
,,,,,,,,,,,,,,,3B,Cesar Prieto (43947431),Cesar Prieto,43947431,3B,2000,BAL@STL 08/27/2026 02:15PM ET,STL,0.42
,,,,,,,,,,,,,,,1B,Ryan Mountcastle (43947432),Ryan Mountcastle,43947432,1B,2000,BAL@STL 08/27/2026 02:15PM ET,BAL,2.25
,,,,,,,,,,,,,,,OF,Reed Trimble (43947433),Reed Trimble,43947433,OF,2000,BAL@STL 08/27/2026 02:15PM ET,BAL,0
,,,,,,,,,,,,,,,C,Leo Bernal (43947434),Leo Bernal,43947434,C,2000,BAL@STL 08/27/2026 02:15PM ET,STL,0
,,,,,,,,,,,,,,,OF,Heston Kjerstad (43947437),Heston Kjerstad,43947437,OF,2000,BAL@STL 08/27/2026 02:15PM ET,BAL,0
,,,,,,,,,,,,,,,OF,Rece Hinds (43947440),Rece Hinds,43947440,OF,2000,BAL@STL 08/27/2026 02:15PM ET,BAL,2.77
