Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5214518969,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,1. Column A lists all of your contest entries for this draftgroup
5214528338,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,2. Your current lineup is listed next to each entry (blank for reservations)
5214528339,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5214528340,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5214528341,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,5. For faster processing only include entries you are changing in the file you upload
5214528342,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,
5214528343,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,SP,Michael Lorenzen (43798852),Michael Lorenzen,43798852,P,5500,COL@ARI 08/10/2026 09:40PM ET,COL,4.92
,,,,,,,,,,,,,,,SP,Kyle Freeland (43798883),Kyle Freeland,43798883,P,5500,COL@ARI 08/10/2026 09:40PM ET,COL,8.59
,,,,,,,,,,,,,,,SP,Tomoyuki Sugano (43798905),Tomoyuki Sugano,43798905,P,5500,COL@ARI 08/10/2026 09:40PM ET,COL,10.64
,,,,,,,,,,,,,,,OF,Corbin Carroll (43799197),Corbin Carroll,43799197,OF,5500,COL@ARI 08/10/2026 09:40PM ET,ARI,8.62
,,,,,,,,,,,,,,,RP,Tanner Gordon (43799211),Tanner Gordon,43799211,P,5500,COL@ARI 08/10/2026 09:40PM ET,COL,7.39
,,,,,,,,,,,,,,,SP,Pierson Ohl (43799322),Pierson Ohl,43799322,P,5500,COL@ARI 08/10/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,SP,Sean Sullivan (43799393),Sean Sullivan,43799393,P,5500,COL@ARI 08/10/2026 09:40PM ET,COL,1.89
,,,,,,,,,,,,,,,RP,Jose Suarez (43798969),Jose Suarez,43798969,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,3.44
,,,,,,,,,,,,,,,RP,Jeffrey Springs (43798991),Jeffrey Springs,43798991,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,8.44
,,,,,,,,,,,,,,,SP,Luis Medina (43799050),Luis Medina,43799050,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,4.00
,,,,,,,,,,,,,,,SP,Gunnar Hoglund (43799142),Gunnar Hoglund,43799142,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,0
,,,,,,,,,,,,,,,SP,Jacob Lopez (43799166),Jacob Lopez,43799166,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,8.88
,,,,,,,,,,,,,,,RP,Seth Johnson (43799195),Seth Johnson,43799195,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,2.99
,,,,,,,,,,,,,,,RP,Joey Estes (43799223),Joey Estes,43799223,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,6.15
,,,,,,,,,,,,,,,RP,Yunior Tur (43799381),Yunior Tur,43799381,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,-12.8
,,,,,,,,,,,,,,,SP,Kade Morris (43799395),Kade Morris,43799395,P,5500,TB@ATH 08/10/2026 09:40PM ET,ATH,-2.17
,,,,,,,,,,,,,,,1B,Freddie Freeman (43798823),Freddie Freeman,43798823,1B,5500,KC@LAD 08/10/2026 10:10PM ET,LAD,7.99
,,,,,,,,,,,,,,,RP,Tyler Alexander (43798922),Tyler Alexander,43798922,P,5500,TEX@LAA 08/10/2026 09:38PM ET,TEX,2.7
,,,,,,,,,,,,,,,SP,Jordan Montgomery (43798944),Jordan Montgomery,43798944,P,5500,TEX@LAA 08/10/2026 09:38PM ET,TEX,2.8
,,,,,,,,,,,,,,,SP,Adam Macko (43799209),Adam Macko,43799209,P,5500,TEX@LAA 08/10/2026 09:38PM ET,TEX,2.60
,,,,,,,,,,,,,,,SP,Jose Corniell (43799263),Jose Corniell,43799263,P,5500,TEX@LAA 08/10/2026 09:38PM ET,TEX,-5.62
,,,,,,,,,,,,,,,RP,Chase Silseth (43799297),Chase Silseth,43799297,P,5500,TEX@LAA 08/10/2026 09:38PM ET,TEX,2.89
,,,,,,,,,,,,,,,SP,Leandro Lopez (43799380),Leandro Lopez,43799380,P,5500,TEX@LAA 08/10/2026 09:38PM ET,TEX,0
,,,,,,,,,,,,,,,SP,David Davalillo (43799383),David Davalillo,43799383,P,5500,TEX@LAA 08/10/2026 09:38PM ET,TEX,0
,,,,,,,,,,,,,,,C,Hunter Goodman (43799237),Hunter Goodman,43799237,C,5400,COL@ARI 08/10/2026 09:40PM ET,COL,8.87
,,,,,,,,,,,,,,,OF,Jackson Chourio (43799332),Jackson Chourio,43799332,OF,5400,MIL@SD 08/10/2026 09:40PM ET,MIL,9.19
,,,,,,,,,,,,,,,OF,Mickey Moniak (43799015),Mickey Moniak,43799015,OF,5300,COL@ARI 08/10/2026 09:40PM ET,COL,7.92
,,,,,,,,,,,,,,,1B,Nick Kurtz (43799407),Nick Kurtz,43799407,1B,5200,TB@ATH 08/10/2026 09:40PM ET,ATH,9.22
,,,,,,,,,,,,,,,3B,Max Muncy (43798841),Max Muncy,43798841,3B,5200,KC@LAD 08/10/2026 10:10PM ET,LAD,7.36
,,,,,,,,,,,,,,,OF,Mike Trout (43798835),Mike Trout,43798835,OF,5200,TEX@LAA 08/10/2026 09:38PM ET,LAA,8.48
,,,,,,,,,,,,,,,1B/3B,Yandy Diaz (43798931),Yandy Diaz,43798931,1B/3B,5100,TB@ATH 08/10/2026 09:40PM ET,TB,8.18
,,,,,,,,,,,,,,,2B,Brice Turang (43799139),Brice Turang,43799139,2B,5100,MIL@SD 08/10/2026 09:40PM ET,MIL,9.32
,,,,,,,,,,,,,,,SS,Jeremy Pena (43798995),Jeremy Pena,43798995,SS,5100,HOU@SF 08/10/2026 09:45PM ET,HOU,9.08
,,,,,,,,,,,,,,,2B,Ketel Marte (43798870),Ketel Marte,43798870,2B,5000,COL@ARI 08/10/2026 09:40PM ET,ARI,7.84
,,,,,,,,,,,,,,,OF,Tyler Soderstrom (43799251),Tyler Soderstrom,43799251,OF,5000,TB@ATH 08/10/2026 09:40PM ET,ATH,7.66
,,,,,,,,,,,,,,,OF,Andy Pages (43799133),Andy Pages,43799133,OF,5000,KC@LAD 08/10/2026 10:10PM ET,LAD,8.49
,,,,,,,,,,,,,,,SP,Adrian Houser (43798873),Adrian Houser,43798873,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,7.83
,,,,,,,,,,,,,,,RP,JT Brubaker (43798985),JT Brubaker,43798985,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,3.38
,,,,,,,,,,,,,,,RP,Tristan Beck (43798994),Tristan Beck,43798994,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,0.7
,,,,,,,,,,,,,,,RP,Jose Butto (43799064),Jose Butto,43799064,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,-0.5
,,,,,,,,,,,,,,,SP,Keaton Winn (43799099),Keaton Winn,43799099,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,2.63
,,,,,,,,,,,,,,,RP,Dylan Smith (43799161),Dylan Smith,43799161,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,2.89
,,,,,,,,,,,,,,,RP,Carson Seymour (43799234),Carson Seymour,43799234,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,-0.44
,,,,,,,,,,,,,,,SP,Miguel Mendez (43799343),Miguel Mendez,43799343,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,SP,Blade Tidwell (43799347),Blade Tidwell,43799347,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,4.41
,,,,,,,,,,,,,,,RP,Hayden Birdsong (43799365),Hayden Birdsong,43799365,P,5000,HOU@SF 08/10/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,3B,Manny Machado (43798849),Manny Machado,43798849,3B,4900,MIL@SD 08/10/2026 09:40PM ET,SD,7.36
,,,,,,,,,,,,,,,OF,Jake McCarthy (43798987),Jake McCarthy,43798987,OF,4800,COL@ARI 08/10/2026 09:40PM ET,COL,8.81
,,,,,,,,,,,,,,,1B/C,Liam Hicks (43799315),Liam Hicks,43799315,C/1B,4800,TB@ATH 08/10/2026 09:40PM ET,TB,7.69
,,,,,,,,,,,,,,,C,Carter Jensen (43799302),Carter Jensen,43799302,C,4700,KC@LAD 08/10/2026 10:10PM ET,KC,6.71
,,,,,,,,,,,,,,,SS,Zach Neto (43799345),Zach Neto,43799345,SS,4700,TEX@LAA 08/10/2026 09:38PM ET,LAA,8.19
,,,,,,,,,,,,,,,OF,Christian Yelich (43798850),Christian Yelich,43798850,OF,4700,MIL@SD 08/10/2026 09:40PM ET,MIL,7.58
,,,,,,,,,,,,,,,1B/OF,Jake Bauers (43798916),Jake Bauers,43798916,1B/OF,4700,MIL@SD 08/10/2026 09:40PM ET,MIL,8.68
,,,,,,,,,,,,,,,OF,Cole Carrigg (43799391),Cole Carrigg,43799391,OF,4600,COL@ARI 08/10/2026 09:40PM ET,COL,8.7
,,,,,,,,,,,,,,,1B,Jonathan Aranda (43799046),Jonathan Aranda,43799046,1B,4600,TB@ATH 08/10/2026 09:40PM ET,TB,7.82
,,,,,,,,,,,,,,,OF,Jonny DeLuca (43799111),Jonny DeLuca,43799111,OF,4600,TB@ATH 08/10/2026 09:40PM ET,TB,6.42
,,,,,,,,,,,,,,,C,Gabriel Moreno (43799065),Gabriel Moreno,43799065,C,4500,COL@ARI 08/10/2026 09:40PM ET,ARI,7.73
,,,,,,,,,,,,,,,2B,Tommy Edman (43798978),Tommy Edman,43798978,2B,4500,KC@LAD 08/10/2026 10:10PM ET,LAD,6.88
,,,,,,,,,,,,,,,1B/OF,Jac Caglianone (43799294),Jac Caglianone,43799294,1B/OF,4500,KC@LAD 08/10/2026 10:10PM ET,KC,7.14
,,,,,,,,,,,,,,,1B,TJ Rumfield (43799318),TJ Rumfield,43799318,1B,4400,COL@ARI 08/10/2026 09:40PM ET,COL,7.36
,,,,,,,,,,,,,,,OF,Chandler Simpson (43799356),Chandler Simpson,43799356,OF,4400,TB@ATH 08/10/2026 09:40PM ET,TB,6.91
,,,,,,,,,,,,,,,SS,Jacob Wilson (43799386),Jacob Wilson,43799386,SS,4400,TB@ATH 08/10/2026 09:40PM ET,ATH,6.88
,,,,,,,,,,,,,,,OF,Wyatt Langford (43799384),Wyatt Langford,43799384,OF,4400,TEX@LAA 08/10/2026 09:38PM ET,TEX,8.44
,,,,,,,,,,,,,,,C,William Contreras (43798971),William Contreras,43798971,C,4400,MIL@SD 08/10/2026 09:40PM ET,MIL,7.08
,,,,,,,,,,,,,,,OF,Jackson Merrill (43799301),Jackson Merrill,43799301,OF,4400,MIL@SD 08/10/2026 09:40PM ET,SD,7.92
,,,,,,,,,,,,,,,OF,Cedric Mullins (43798976),Cedric Mullins,43798976,OF,4300,TB@ATH 08/10/2026 09:40PM ET,TB,6.48
,,,,,,,,,,,,,,,C,Shea Langeliers (43799040),Shea Langeliers,43799040,C,4300,TB@ATH 08/10/2026 09:40PM ET,ATH,8.56
,,,,,,,,,,,,,,,SS,Corey Seager (43798890),Corey Seager,43798890,SS,4300,TEX@LAA 08/10/2026 09:38PM ET,TEX,6.92
,,,,,,,,,,,,,,,SS,Geraldo Perdomo (43799063),Geraldo Perdomo,43799063,SS,4200,COL@ARI 08/10/2026 09:40PM ET,ARI,7.47
,,,,,,,,,,,,,,,OF,Kyle Tucker (43798980),Kyle Tucker,43798980,OF,4200,KC@LAD 08/10/2026 10:10PM ET,LAD,7.25
,,,,,,,,,,,,,,,3B/SS,Maikel Garcia (43799060),Maikel Garcia,43799060,3B/SS,4200,KC@LAD 08/10/2026 10:10PM ET,KC,6.84
,,,,,,,,,,,,,,,1B,Ty France (43798993),Ty France,43798993,1B,4200,MIL@SD 08/10/2026 09:40PM ET,SD,6.89
,,,,,,,,,,,,,,,OF,Garrett Mitchell (43799095),Garrett Mitchell,43799095,OF,4200,MIL@SD 08/10/2026 09:40PM ET,MIL,6.88
,,,,,,,,,,,,,,,2B/3B,Willi Castro (43798958),Willi Castro,43798958,2B/3B,4100,COL@ARI 08/10/2026 09:40PM ET,COL,7.23
,,,,,,,,,,,,,,,C,Jonah Heim (43798915),Jonah Heim,43798915,C,4100,TB@ATH 08/10/2026 09:40PM ET,ATH,6.18
,,,,,,,,,,,,,,,3B/OF,Zack Gelof (43799175),Zack Gelof,43799175,3B/OF,4100,TB@ATH 08/10/2026 09:40PM ET,ATH,7.55
,,,,,,,,,,,,,,,OF,Victor Mesa Jr. (43799187),Victor Mesa Jr.,43799187,OF,4100,TB@ATH 08/10/2026 09:40PM ET,TB,5.94
,,,,,,,,,,,,,,,SS,Mookie Betts (43798877),Mookie Betts,43798877,SS,4100,KC@LAD 08/10/2026 10:10PM ET,LAD,6.74
,,,,,,,,,,,,,,,2B,Jose Altuve (43798832),Jose Altuve,43798832,2B,4100,HOU@SF 08/10/2026 09:45PM ET,HOU,6.88
,,,,,,,,,,,,,,,1B,Christian Walker (43798843),Christian Walker,43798843,1B,4100,HOU@SF 08/10/2026 09:45PM ET,HOU,7.50
,,,,,,,,,,,,,,,RP,Craig Kimbrel (43798826),Craig Kimbrel,43798826,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,2.29
,,,,,,,,,,,,,,,3B,Nolan Arenado (43798836),Nolan Arenado,43798836,3B,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,6.79
,,,,,,,,,,,,,,,RP,Paul Sewald (43798893),Paul Sewald,43798893,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,2.28
,,,,,,,,,,,,,,,RP,Jimmy Herget (43798898),Jimmy Herget,43798898,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,1.7
,,,,,,,,,,,,,,,RP,Jonathan Loaisiga (43798911),Jonathan Loaisiga,43798911,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,2.56
,,,,,,,,,,,,,,,RP,A.J. Puk (43798926),A.J. Puk,43798926,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Jordan Romano (43798948),Jordan Romano,43798948,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,2.06
,,,,,,,,,,,,,,,RP,Kevin Ginkel (43798950),Kevin Ginkel,43798950,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,2.87
,,,,,,,,,,,,,,,RP,Ryan Thompson (43798951),Ryan Thompson,43798951,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,1.91
,,,,,,,,,,,,,,,RP,Brennan Bernardino (43798952),Brennan Bernardino,43798952,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,2.32
,,,,,,,,,,,,,,,RP,Parker Mushinski (43798973),Parker Mushinski,43798973,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,1.66
,,,,,,,,,,,,,,,RP,Taylor Clarke (43798983),Taylor Clarke,43798983,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,2.42
,,,,,,,,,,,,,,,RP,Juan Morillo (43799014),Juan Morillo,43799014,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,3.42
,,,,,,,,,,,,,,,RP,Juan Mejia (43799100),Juan Mejia,43799100,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,2.46
,,,,,,,,,,,,,,,RP,Jeff Criswell (43799108),Jeff Criswell,43799108,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,2.27
,,,,,,,,,,,,,,,RP,Andrew Saalfrank (43799120),Andrew Saalfrank,43799120,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Justin Martinez (43799137),Justin Martinez,43799137,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Jaden Hill (43799173),Jaden Hill,43799173,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,1.81
,,,,,,,,,,,,,,,RP,Blas Castano (43799178),Blas Castano,43799178,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,4.85
,,,,,,,,,,,,,,,RP,Drey Jameson (43799196),Drey Jameson,43799196,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,2.86
,,,,,,,,,,,,,,,RP,Blake Walston (43799201),Blake Walston,43799201,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Kade Strowd (43799213),Kade Strowd,43799213,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,-0.15
,,,,,,,,,,,,,,,RP,Nick Frasso (43799236),Nick Frasso,43799236,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,2.65
,,,,,,,,,,,,,,,RP,TJ Shook (43799265),TJ Shook,43799265,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,1.54
,,,,,,,,,,,,,,,RP,Juan Burgos (43799268),Juan Burgos,43799268,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,0.8
,,,,,,,,,,,,,,,RP,Philip Abner (43799298),Philip Abner,43799298,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,1.62
,,,,,,,,,,,,,,,SP,McCade Brown (43799305),McCade Brown,43799305,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,RP,Andrew Hoffmann (43799319),Andrew Hoffmann,43799319,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,2.08
,,,,,,,,,,,,,,,RP,RJ Petit (43799321),RJ Petit,43799321,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,0
,,,,,,,,,,,,,,,RP,Eiberson Castellano (43799336),Eiberson Castellano,43799336,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,7.75
,,,,,,,,,,,,,,,RP,Welinton Herrera (43799382),Welinton Herrera,43799382,P,4000,COL@ARI 08/10/2026 09:40PM ET,COL,2.48
,,,,,,,,,,,,,,,RP,Brandyn Garcia (43799401),Brandyn Garcia,43799401,P,4000,COL@ARI 08/10/2026 09:40PM ET,ARI,2.86
,,,,,,,,,,,,,,,RP,Mark Leiter Jr. (43798921),Mark Leiter Jr.,43798921,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,2.54
,,,,,,,,,,,,,,,RP,Cole Sulser (43798923),Cole Sulser,43798923,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,2.92
,,,,,,,,,,,,,,,RP,Bryan Baker (43798927),Bryan Baker,43798927,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,3.55
,,,,,,,,,,,,,,,RP,Cam Booser (43798929),Cam Booser,43798929,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,4.02
,,,,,,,,,,,,,,,RP,Garrett Cleavinger (43798935),Garrett Cleavinger,43798935,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,3.30
,,,,,,,,,,,,,,,RP,Manuel Rodriguez (43798937),Manuel Rodriguez,43798937,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,0
,,,,,,,,,,,,,,,RP,Scott Blewett (43798941),Scott Blewett,43798941,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,3.17
,,,,,,,,,,,,,,,RP,Brooks Kriske (43799027),Brooks Kriske,43799027,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,4.1
,,,,,,,,,,,,,,,RP,Casey Legumina (43799036),Casey Legumina,43799036,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,2.55
,,,,,,,,,,,,,,,RP,Elvis Alvarado (43799045),Elvis Alvarado,43799045,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,3.55
,,,,,,,,,,,,,,,RP,Edwin Uceta (43799049),Edwin Uceta,43799049,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,0
,,,,,,,,,,,,,,,RP,Michael Grove (43799070),Michael Grove,43799070,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,8.12
,,,,,,,,,,,,,,,RP,Brady Basso (43799125),Brady Basso,43799125,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,2.56
,,,,,,,,,,,,,,,RP,Jon Heasley (43799128),Jon Heasley,43799128,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,-1.8
,,,,,,,,,,,,,,,RP,Kevin Kelly (43799131),Kevin Kelly,43799131,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,3.51
,,,,,,,,,,,,,,,RP,Hogan Harris (43799145),Hogan Harris,43799145,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,3.18
,,,,,,,,,,,,,,,RP,Hunter Bigge (43799220),Hunter Bigge,43799220,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,1.59
,,,,,,,,,,,,,,,RP,Justin Sterner (43799264),Justin Sterner,43799264,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,1.97
,,,,,,,,,,,,,,,RP,Hayden Juenger (43799309),Hayden Juenger,43799309,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,0.37
,,,,,,,,,,,,,,,SP,Henry Baez (43799338),Henry Baez,43799338,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,0
,,,,,,,,,,,,,,,RP,Chris Roycroft (43799344),Chris Roycroft,43799344,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,1.04
,,,,,,,,,,,,,,,RP,Trevor Martin (43799358),Trevor Martin,43799358,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,2.92
,,,,,,,,,,,,,,,RP,Alex Cook (43799374),Alex Cook,43799374,P,4000,TB@ATH 08/10/2026 09:40PM ET,TB,1.32
,,,,,,,,,,,,,,,SP,Braden Nett (43799378),Braden Nett,43799378,P,4000,TB@ATH 08/10/2026 09:40PM ET,ATH,0
,,,,,,,,,,,,,,,RP,Blake Treinen (43798863),Blake Treinen,43798863,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,2.78
,,,,,,,,,,,,,,,RP,Brock Stewart (43798864),Brock Stewart,43798864,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,3.31
,,,,,,,,,,,,,,,RP,Carlos Estevez (43798879),Carlos Estevez,43798879,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,-14.85
,,,,,,,,,,,,,,,RP,Aaron Bummer (43798880),Aaron Bummer,43798880,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,0.38
,,,,,,,,,,,,,,,RP,Edwin Diaz (43798891),Edwin Diaz,43798891,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,1.74
,,,,,,,,,,,,,,,RP,Evan Phillips (43798896),Evan Phillips,43798896,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,2.22
,,,,,,,,,,,,,,,RP,Jose Cuas (43798897),Jose Cuas,43798897,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,3.83
,,,,,,,,,,,,,,,RP,Jonathan Hernandez (43798912),Jonathan Hernandez,43798912,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,2.34
,,,,,,,,,,,,,,,RP,Tanner Scott (43798947),Tanner Scott,43798947,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,3.57
,,,,,,,,,,,,,,,RP,Connor Seabold (43798953),Connor Seabold,43798953,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,2.08
,,,,,,,,,,,,,,,RP,Lucas Erceg (43798970),Lucas Erceg,43798970,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,1.50
,,,,,,,,,,,,,,,C,Will Smith (43798972),Will Smith,43798972,C,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,6.21
,,,,,,,,,,,,,,,RP,Brusdar Graterol (43798974),Brusdar Graterol,43798974,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,0
,,,,,,,,,,,,,,,RP,Jake Cousins (43798975),Jake Cousins,43798975,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,0
,,,,,,,,,,,,,,,RP,Eli Morgan (43799009),Eli Morgan,43799009,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,2.03
,,,,,,,,,,,,,,,RP,Easton McGee (43799023),Easton McGee,43799023,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,1.15
,,,,,,,,,,,,,,,RP,John Schreiber (43799032),John Schreiber,43799032,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,1.96
,,,,,,,,,,,,,,,RP,James McArthur (43799058),James McArthur,43799058,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,0
,,,,,,,,,,,,,,,RP,Nate Pearson (43799078),Nate Pearson,43799078,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,3.12
,,,,,,,,,,,,,,,RP,Alex Lange (43799079),Alex Lange,43799079,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,2.18
,,,,,,,,,,,,,,,RP,Kyle Hurt (43799107),Kyle Hurt,43799107,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,3.24
,,,,,,,,,,,,,,,RP,Steven Cruz (43799114),Steven Cruz,43799114,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,3.19
,,,,,,,,,,,,,,,1B,Vinnie Pasquantino (43799122),Vinnie Pasquantino,43799122,1B,4000,KC@LAD 08/10/2026 10:10PM ET,KC,6.46
,,,,,,,,,,,,,,,RP,Jack Dreyer (43799129),Jack Dreyer,43799129,P,4000,KC@LAD 08/10/2026 10:10PM ET,LAD,3.57
,,,,,,,,,,,,,,,RP,Nolan Hoffman (43799150),Nolan Hoffman,43799150,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,1.7
,,,,,,,,,,,,,,,RP,Carlos Duran (43799155),Carlos Duran,43799155,P,4000,KC@LAD 08/10/2026 10:10PM ET,KC,0
