Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5225703631,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,1. Column A lists all of your contest entries for this draftgroup
5225704150,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,2. Your current lineup is listed next to each entry (blank for reservations)
5225704151,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5225704152,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5225704153,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,5. For faster processing only include entries you are changing in the file you upload
5225704154,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,
5225704155,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,RP,Jhony Brito (43897267),Jhony Brito,43897267,P,7000,MIN@SD 08/21/2026 09:40PM ET,SD,4.33
,,,,,,,,,,,,,,,SP,Andrew Abbott (43897281),Andrew Abbott,43897281,P,6900,CIN@ARI 08/21/2026 09:40PM ET,CIN,12.04
,,,,,,,,,,,,,,,RP,Albert Suarez (43897272),Albert Suarez,43897272,P,6900,TB@BAL 08/21/2026 07:15PM ET,BAL,4.73
,,,,,,,,,,,,,,,SP,Cade Povich (43897276),Cade Povich,43897276,P,6900,TB@BAL 08/21/2026 07:15PM ET,BAL,10.19
,,,,,,,,,,,,,,,SP,Brandon Walter (43897270),Brandon Walter,43897270,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,0
,,,,,,,,,,,,,,,SP,Ronel Blanco (43897273),Ronel Blanco,43897273,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,6.3
,,,,,,,,,,,,,,,RP,Kai-Wei Teng (43897274),Kai-Wei Teng,43897274,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,7.20
,,,,,,,,,,,,,,,RP,AJ Blubaugh (43897275),AJ Blubaugh,43897275,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,4.88
,,,,,,,,,,,,,,,SP,Mike Burrows (43897277),Mike Burrows,43897277,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,9.02
,,,,,,,,,,,,,,,RP,Jason Alexander (43897280),Jason Alexander,43897280,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,4.31
,,,,,,,,,,,,,,,SP,Logan Evans (43897278),Logan Evans,43897278,P,6900,CHC@SEA 08/21/2026 10:10PM ET,SEA,0
,,,,,,,,,,,,,,,RP,Cooper Criswell (43897279),Cooper Criswell,43897279,P,6900,CHC@SEA 08/21/2026 10:10PM ET,SEA,2.95
,,,,,,,,,,,,,,,RP,Stephen Kolek (43897271),Stephen Kolek,43897271,P,6900,DET@KC 08/21/2026 08:10PM ET,KC,11.51
,,,,,,,,,,,,,,,SP,Connor Prielipp (43896515),Connor Prielipp,43896515,P,6900,MIN@SD 08/21/2026 09:40PM ET,MIN,12.80
,,,,,,,,,,,,,,,RP,Cal Quantrill (43897287),Cal Quantrill,43897287,P,6800,LAA@TEX 08/21/2026 08:15PM ET,TEX,7.40
,,,,,,,,,,,,,,,SP,Jack Leiter (43897289),Jack Leiter,43897289,P,6800,LAA@TEX 08/21/2026 08:15PM ET,TEX,12.71
,,,,,,,,,,,,,,,RP,Cody Bradford (43897292),Cody Bradford,43897292,P,6800,LAA@TEX 08/21/2026 08:15PM ET,TEX,10.23
,,,,,,,,,,,,,,,SP,Kumar Rocker (43897293),Kumar Rocker,43897293,P,6800,LAA@TEX 08/21/2026 08:15PM ET,TEX,11.77
,,,,,,,,,,,,,,,SP,Tyler Wells (43897283),Tyler Wells,43897283,P,6800,TB@BAL 08/21/2026 07:15PM ET,TB,3.92
,,,,,,,,,,,,,,,SP,Steven Matz (43897284),Steven Matz,43897284,P,6800,TB@BAL 08/21/2026 07:15PM ET,TB,4.94
,,,,,,,,,,,,,,,RP,Jesse Scholtens (43897285),Jesse Scholtens,43897285,P,6800,TB@BAL 08/21/2026 07:15PM ET,TB,10.12
,,,,,,,,,,,,,,,SP,Ryan Pepiot (43897290),Ryan Pepiot,43897290,P,6800,TB@BAL 08/21/2026 07:15PM ET,TB,0
,,,,,,,,,,,,,,,RP,Mason Englert (43897291),Mason Englert,43897291,P,6800,TB@BAL 08/21/2026 07:15PM ET,TB,5.55
,,,,,,,,,,,,,,,SP,Tanner Houck (43897282),Tanner Houck,43897282,P,6800,SF@BOS 08/21/2026 07:10PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Kutter Crawford (43897286),Kutter Crawford,43897286,P,6800,SF@BOS 08/21/2026 07:10PM ET,BOS,0
,,,,,,,,,,,,,,,SP,Patrick Sandoval (43897288),Patrick Sandoval,43897288,P,6800,SF@BOS 08/21/2026 07:10PM ET,BOS,10.87
,,,,,,,,,,,,,,,SP,Brayan Bello (43897294),Brayan Bello,43897294,P,6800,SF@BOS 08/21/2026 07:10PM ET,BOS,9.68
,,,,,,,,,,,,,,,RP,J.T. Ginn (43896516),J.T. Ginn,43896516,P,6800,ATH@HOU 08/21/2026 08:10PM ET,ATH,13.94
,,,,,,,,,,,,,,,SP,Nick Lodolo (43896517),Nick Lodolo,43896517,P,6700,CIN@ARI 08/21/2026 09:40PM ET,CIN,10.62
,,,,,,,,,,,,,,,RP,Mike Vasil (43897305),Mike Vasil,43897305,P,6700,NYM@CWS 08/21/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,,SP,Jackson Kent (43897295),Jackson Kent,43897295,P,6700,WSH@MIA 08/21/2026 07:10PM ET,WSH,3.92
,,,,,,,,,,,,,,,SP,Miles Mikolas (43897296),Miles Mikolas,43897296,P,6700,WSH@MIA 08/21/2026 07:10PM ET,WSH,5.63
,,,,,,,,,,,,,,,SP,Robby Snelling (43897302),Robby Snelling,43897302,P,6700,WSH@MIA 08/21/2026 07:10PM ET,MIA,3.85
,,,,,,,,,,,,,,,RP,Andrew Alvarez (43897303),Andrew Alvarez,43897303,P,6700,WSH@MIA 08/21/2026 07:10PM ET,WSH,10.87
,,,,,,,,,,,,,,,SP,Jake Irvin (43897304),Jake Irvin,43897304,P,6700,WSH@MIA 08/21/2026 07:10PM ET,WSH,10.54
,,,,,,,,,,,,,,,RP,Jacob Lopez (43897299),Jacob Lopez,43897299,P,6700,ATH@HOU 08/21/2026 08:10PM ET,ATH,9.76
,,,,,,,,,,,,,,,SP,Luis Severino (43897300),Luis Severino,43897300,P,6700,ATH@HOU 08/21/2026 08:10PM ET,ATH,13.72
,,,,,,,,,,,,,,,OF,Pete Crow-Armstrong (43896524),Pete Crow-Armstrong,43896524,OF,6700,CHC@SEA 08/21/2026 10:10PM ET,CHC,10.61
,,,,,,,,,,,,,,,RP,Kendry Rojas (43897297),Kendry Rojas,43897297,P,6700,MIN@SD 08/21/2026 09:40PM ET,MIN,7.43
,,,,,,,,,,,,,,,RP,Jack Anderson (43897298),Jack Anderson,43897298,P,6700,MIN@SD 08/21/2026 09:40PM ET,MIN,5.99
,,,,,,,,,,,,,,,SP,Dean Kremer (43897301),Dean Kremer,43897301,P,6700,MIN@SD 08/21/2026 09:40PM ET,MIN,13.22
,,,,,,,,,,,,,,,SP,Bailey Ober (43897306),Bailey Ober,43897306,P,6700,MIN@SD 08/21/2026 09:40PM ET,MIN,11.73
,,,,,,,,,,,,,,,SP,Freddy Peralta (43896518),Freddy Peralta,43896518,P,6600,TB@BAL 08/21/2026 07:15PM ET,TB,11.66
,,,,,,,,,,,,,,,SP,Davis Martin (43897307),Davis Martin,43897307,P,6600,NYM@CWS 08/21/2026 07:40PM ET,CWS,13.09
,,,,,,,,,,,,,,,RP,Anthony Kay (43897308),Anthony Kay,43897308,P,6600,NYM@CWS 08/21/2026 07:40PM ET,CWS,11.64
,,,,,,,,,,,,,,,SP,Erick Fedde (43897311),Erick Fedde,43897311,P,6600,NYM@CWS 08/21/2026 07:40PM ET,CWS,8.79
,,,,,,,,,,,,,,,RP,Janson Junk (43897321),Janson Junk,43897321,P,6600,WSH@MIA 08/21/2026 07:10PM ET,MIA,11.02
,,,,,,,,,,,,,,,OF,Yordan Alvarez (43896525),Yordan Alvarez,43896525,OF,6600,ATH@HOU 08/21/2026 08:10PM ET,HOU,10.13
,,,,,,,,,,,,,,,RP,Aaron Civale (43897312),Aaron Civale,43897312,P,6600,CHC@SEA 08/21/2026 10:10PM ET,CHC,7.71
,,,,,,,,,,,,,,,SP,Jordan Wicks (43897313),Jordan Wicks,43897313,P,6600,CHC@SEA 08/21/2026 10:10PM ET,CHC,0.66
,,,,,,,,,,,,,,,RP,Ethan Roberts (43897314),Ethan Roberts,43897314,P,6600,CHC@SEA 08/21/2026 10:10PM ET,CHC,1.93
,,,,,,,,,,,,,,,SP,Braxton Garrett (43897320),Braxton Garrett,43897320,P,6600,CHC@SEA 08/21/2026 10:10PM ET,CHC,-1.62
,,,,,,,,,,,,,,,SP,Reese Olson (43897309),Reese Olson,43897309,P,6600,DET@KC 08/21/2026 08:10PM ET,DET,0
,,,,,,,,,,,,,,,SP,Jackson Jobe (43897322),Jackson Jobe,43897322,P,6600,DET@KC 08/21/2026 08:10PM ET,DET,10.1
,,,,,,,,,,,,,,,SP,Jared Jones (43897310),Jared Jones,43897310,P,6600,PIT@LAD 08/21/2026 10:10PM ET,PIT,12.9
,,,,,,,,,,,,,,,RP,Mike Clevinger (43897315),Mike Clevinger,43897315,P,6600,PIT@LAD 08/21/2026 10:10PM ET,PIT,0
,,,,,,,,,,,,,,,RP,Wilber Dotel (43897316),Wilber Dotel,43897316,P,6600,PIT@LAD 08/21/2026 10:10PM ET,PIT,5.1
,,,,,,,,,,,,,,,RP,Antwone Kelly (43897317),Antwone Kelly,43897317,P,6600,PIT@LAD 08/21/2026 10:10PM ET,PIT,2.43
,,,,,,,,,,,,,,,RP,Thomas Harrington (43897318),Thomas Harrington,43897318,P,6600,PIT@LAD 08/21/2026 10:10PM ET,PIT,0
,,,,,,,,,,,,,,,RP,Eric Lauer (43897319),Eric Lauer,43897319,P,6600,PIT@LAD 08/21/2026 10:10PM ET,LAD,10.64
,,,,,,,,,,,,,,,SP,Ryne Nelson (43897337),Ryne Nelson,43897337,P,6500,CIN@ARI 08/21/2026 09:40PM ET,ARI,11.11
,,,,,,,,,,,,,,,SP,Ethan Pecko (43897334),Ethan Pecko,43897334,P,6500,ATH@HOU 08/21/2026 08:10PM ET,HOU,8.05
,,,,,,,,,,,,,,,SP,Justin Verlander (43897323),Justin Verlander,43897323,P,6500,DET@KC 08/21/2026 08:10PM ET,DET,-4.55
,,,,,,,,,,,,,,,SP,Keider Montero (43897325),Keider Montero,43897325,P,6500,DET@KC 08/21/2026 08:10PM ET,DET,12.39
,,,,,,,,,,,,,,,1B/OF,Shohei Ohtani (43896526),Shohei Ohtani,43896526,1B/OF,6500,PIT@LAD 08/21/2026 10:10PM ET,LAD,9.70
,,,,,,,,,,,,,,,SP,Mitch Keller (43897324),Mitch Keller,43897324,P,6500,PIT@LAD 08/21/2026 10:10PM ET,PIT,10.28
,,,,,,,,,,,,,,,SP,Gavin Stone (43897326),Gavin Stone,43897326,P,6500,PIT@LAD 08/21/2026 10:10PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Bobby Miller (43897327),Bobby Miller,43897327,P,6500,PIT@LAD 08/21/2026 10:10PM ET,LAD,0
,,,,,,,,,,,,,,,SP,Landon Knack (43897328),Landon Knack,43897328,P,6500,PIT@LAD 08/21/2026 10:10PM ET,LAD,4.22
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (43897329),Carmen Mlodzinski,43897329,P,6500,PIT@LAD 08/21/2026 10:10PM ET,PIT,8.28
,,,,,,,,,,,,,,,RP,Lake Bachar (43897330),Lake Bachar,43897330,P,6500,PIT@LAD 08/21/2026 10:10PM ET,PIT,4.71
,,,,,,,,,,,,,,,RP,Hunter Barco (43897331),Hunter Barco,43897331,P,6500,PIT@LAD 08/21/2026 10:10PM ET,PIT,2.31
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43897332),Ryan Yarbrough,43897332,P,6500,TOR@NYY 08/21/2026 07:05PM ET,NYY,3.52
,,,,,,,,,,,,,,,RP,Paul Blackburn (43897333),Paul Blackburn,43897333,P,6500,TOR@NYY 08/21/2026 07:05PM ET,NYY,4.48
,,,,,,,,,,,,,,,SP,Elmer Rodriguez (43897335),Elmer Rodriguez,43897335,P,6500,TOR@NYY 08/21/2026 07:05PM ET,NYY,5.11
,,,,,,,,,,,,,,,SP,Luis Gil (43897336),Luis Gil,43897336,P,6500,TOR@NYY 08/21/2026 07:05PM ET,NYY,5.52
,,,,,,,,,,,,,,,RP,Kohl Drake (43897338),Kohl Drake,43897338,P,6400,CIN@ARI 08/21/2026 09:40PM ET,ARI,6.52
,,,,,,,,,,,,,,,SP,Mitch Bratt (43897339),Mitch Bratt,43897339,P,6400,CIN@ARI 08/21/2026 09:40PM ET,ARI,8.69
,,,,,,,,,,,,,,,3B,Junior Caminero (43896528),Junior Caminero,43896528,3B,6400,TB@BAL 08/21/2026 07:15PM ET,TB,9.09
,,,,,,,,,,,,,,,RP,Hayden Wesneski (43896519),Hayden Wesneski,43896519,P,6400,ATH@HOU 08/21/2026 08:10PM ET,HOU,12.6
,,,,,,,,,,,,,,,SP,Bubba Chandler (43896520),Bubba Chandler,43896520,P,6300,PIT@LAD 08/21/2026 10:10PM ET,PIT,12.27
,,,,,,,,,,,,,,,1B,Freddie Freeman (43896529),Freddie Freeman,43896529,1B,6300,PIT@LAD 08/21/2026 10:10PM ET,LAD,7.97
,,,,,,,,,,,,,,,OF,Juan Soto (43896920),Juan Soto,43896920,OF,6200,NYM@CWS 08/21/2026 07:40PM ET,NYM,9.27
,,,,,,,,,,,,,,,SS,Bobby Witt Jr. (43896530),Bobby Witt Jr.,43896530,SS,6200,DET@KC 08/21/2026 08:10PM ET,KC,9.52
,,,,,,,,,,,,,,,OF,Aaron Judge (43896919),Aaron Judge,43896919,OF,6200,TOR@NYY 08/21/2026 07:05PM ET,NYY,9.71
,,,,,,,,,,,,,,,SP,Patrick Corbin (43897340),Patrick Corbin,43897340,P,6200,TOR@NYY 08/21/2026 07:05PM ET,TOR,7.50
,,,,,,,,,,,,,,,SP,Shane Bieber (43897341),Shane Bieber,43897341,P,6200,TOR@NYY 08/21/2026 07:05PM ET,TOR,11.75
,,,,,,,,,,,,,,,RP,Jameson Taillon (43897342),Jameson Taillon,43897342,P,6200,TOR@NYY 08/21/2026 07:05PM ET,TOR,10.05
,,,,,,,,,,,,,,,SP,Grayson Rodriguez (43897344),Grayson Rodriguez,43897344,P,6100,LAA@TEX 08/21/2026 08:15PM ET,LAA,9.21
,,,,,,,,,,,,,,,RP,Mitch Farris (43897346),Mitch Farris,43897346,P,6100,LAA@TEX 08/21/2026 08:15PM ET,LAA,4.64
,,,,,,,,,,,,,,,RP,Brett Kerry (43897347),Brett Kerry,43897347,P,6100,LAA@TEX 08/21/2026 08:15PM ET,LAA,11.65
,,,,,,,,,,,,,,,SP,George Klassen (43897349),George Klassen,43897349,P,6100,LAA@TEX 08/21/2026 08:15PM ET,LAA,11.83
,,,,,,,,,,,,,,,RP,Sam Aldegheri (43897350),Sam Aldegheri,43897350,P,6100,LAA@TEX 08/21/2026 08:15PM ET,LAA,7.15
,,,,,,,,,,,,,,,SP,Caden Dana (43897351),Caden Dana,43897351,P,6100,LAA@TEX 08/21/2026 08:15PM ET,LAA,0
,,,,,,,,,,,,,,,SP,Blade Tidwell (43897352),Blade Tidwell,43897352,P,6100,SF@BOS 08/21/2026 07:10PM ET,SF,4.94
,,,,,,,,,,,,,,,SS,CJ Abrams (43896531),CJ Abrams,43896531,SS,6100,WSH@MIA 08/21/2026 07:10PM ET,WSH,9.90
,,,,,,,,,,,,,,,RP,Logan Allen (43897345),Logan Allen,43897345,P,6100,CLE@COL 08/21/2026 08:40PM ET,CLE,7.72
,,,,,,,,,,,,,,,RP,Daniel Espino (43897348),Daniel Espino,43897348,P,6100,CLE@COL 08/21/2026 08:40PM ET,CLE,4.35
,,,,,,,,,,,,,,,SP,Max Scherzer (43897343),Max Scherzer,43897343,P,6100,TOR@NYY 08/21/2026 07:05PM ET,TOR,4.90
,,,,,,,,,,,,,,,SP,Brandon Williamson (43897353),Brandon Williamson,43897353,P,6000,CIN@ARI 08/21/2026 09:40PM ET,CIN,6.93
,,,,,,,,,,,,,,,SP,Connor Phillips (43897354),Connor Phillips,43897354,P,6000,CIN@ARI 08/21/2026 09:40PM ET,CIN,2.28
,,,,,,,,,,,,,,,SP,Rhett Lowder (43897355),Rhett Lowder,43897355,P,6000,CIN@ARI 08/21/2026 09:40PM ET,CIN,9.04
,,,,,,,,,,,,,,,RP,Jose Franco (43897356),Jose Franco,43897356,P,6000,CIN@ARI 08/21/2026 09:40PM ET,CIN,3.88
,,,,,,,,,,,,,,,RP,Ryan Gusto (43896521),Ryan Gusto,43896521,P,6000,WSH@MIA 08/21/2026 07:10PM ET,MIA,7.43
,,,,,,,,,,,,,,,3B,Jose Ramirez (43896532),Jose Ramirez,43896532,3B,6000,CLE@COL 08/21/2026 08:40PM ET,CLE,8.50
,,,,,,,,,,,,,,,SP,Dylan Ray (43897357),Dylan Ray,43897357,P,5900,CIN@ARI 08/21/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Gerardo Carrillo (43897358),Gerardo Carrillo,43897358,P,5900,CIN@ARI 08/21/2026 09:40PM ET,ARI,7.22
,,,,,,,,,,,,,,,RP,Zack Littell (43897359),Zack Littell,43897359,P,5900,CIN@ARI 08/21/2026 09:40PM ET,ARI,8.43
,,,,,,,,,,,,,,,SP,Cristian Mena (43897360),Cristian Mena,43897360,P,5900,CIN@ARI 08/21/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Zac Gallen (43897368),Zac Gallen,43897368,P,5900,CIN@ARI 08/21/2026 09:40PM ET,ARI,6.44
,,,,,,,,,,,,,,,SP,Jose Cabrera (43897369),Jose Cabrera,43897369,P,5900,CIN@ARI 08/21/2026 09:40PM ET,ARI,6.09
,,,,,,,,,,,,,,,SP,Chase Petty (43897371),Chase Petty,43897371,P,5900,CIN@ARI 08/21/2026 09:40PM ET,CIN,2.68
,,,,,,,,,,,,,,,SP,David Davalillo (43897361),David Davalillo,43897361,P,5900,LAA@TEX 08/21/2026 08:15PM ET,TEX,0
,,,,,,,,,,,,,,,SP,Leandro Lopez (43897362),Leandro Lopez,43897362,P,5900,LAA@TEX 08/21/2026 08:15PM ET,TEX,0
,,,,,,,,,,,,,,,SP,Jose Corniell (43897363),Jose Corniell,43897363,P,5900,LAA@TEX 08/21/2026 08:15PM ET,TEX,-5.62
,,,,,,,,,,,,,,,RP,Tyler Alexander (43897364),Tyler Alexander,43897364,P,5900,LAA@TEX 08/21/2026 08:15PM ET,TEX,2.54
,,,,,,,,,,,,,,,SP,Jordan Montgomery (43897365),Jordan Montgomery,43897365,P,5900,LAA@TEX 08/21/2026 08:15PM ET,TEX,2.53
,,,,,,,,,,,,,,,RP,Chase Silseth (43897366),Chase Silseth,43897366,P,5900,LAA@TEX 08/21/2026 08:15PM ET,TEX,2.91
,,,,,,,,,,,,,,,SP,Adam Macko (43897367),Adam Macko,43897367,P,5900,LAA@TEX 08/21/2026 08:15PM ET,TEX,2.60
,,,,,,,,,,,,,,,SP,Johan Oviedo (43897370),Johan Oviedo,43897370,P,5900,SF@BOS 08/21/2026 07:10PM ET,BOS,1.45
,,,,,,,,,,,,,,,OF,Oneil Cruz (43896533),Oneil Cruz,43896533,OF,5900,PIT@LAD 08/21/2026 10:10PM ET,PIT,10.5
,,,,,,,,,,,,,,,RP,Trevor Richards (43897383),Trevor Richards,43897383,P,5800,NYM@CWS 08/21/2026 07:40PM ET,CWS,4.05
,,,,,,,,,,,,,,,RP,Grant Taylor (43897384),Grant Taylor,43897384,P,5800,NYM@CWS 08/21/2026 07:40PM ET,CWS,5.49
,,,,,,,,,,,,,,,RP,Shane Smith (43897385),Shane Smith,43897385,P,5800,NYM@CWS 08/21/2026 07:40PM ET,CWS,2.52
,,,,,,,,,,,,,,,SP,DJ Herz (43897372),DJ Herz,43897372,P,5800,WSH@MIA 08/21/2026 07:10PM ET,WSH,0
,,,,,,,,,,,,,,,SP,Luis Perales (43897373),Luis Perales,43897373,P,5800,WSH@MIA 08/21/2026 07:10PM ET,WSH,0
,,,,,,,,,,,,,,,SP,Josiah Gray (43897374),Josiah Gray,43897374,P,5800,WSH@MIA 08/21/2026 07:10PM ET,WSH,0
,,,,,,,,,,,,,,,SP,Trevor Williams (43897375),Trevor Williams,43897375,P,5800,WSH@MIA 08/21/2026 07:10PM ET,WSH,7.83
,,,,,,,,,,,,,,,SP,Mitchell Parker (43897376),Mitchell Parker,43897376,P,5800,WSH@MIA 08/21/2026 07:10PM ET,WSH,3.42
,,,,,,,,,,,,,,,RP,Max Kranick (43897377),Max Kranick,43897377,P,5800,WSH@MIA 08/21/2026 07:10PM ET,WSH,0.84
,,,,,,,,,,,,,,,RP,Zak Kent (43897378),Zak Kent,43897378,P,5800,WSH@MIA 08/21/2026 07:10PM ET,WSH,1.92
,,,,,,,,,,,,,,,RP,Dax Fulton (43897381),Dax Fulton,43897381,P,5800,WSH@MIA 08/21/2026 07:10PM ET,MIA,5.02
,,,,,,,,,,,,,,,SP,Adam Mazur (43897386),Adam Mazur,43897386,P,5800,WSH@MIA 08/21/2026 07:10PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Marco Raya (43897379),Marco Raya,43897379,P,5800,MIN@SD 08/21/2026 09:40PM ET,MIN,4.23
,,,,,,,,,,,,,,,RP,Mike Paredes (43897380),Mike Paredes,43897380,P,5800,MIN@SD 08/21/2026 09:40PM ET,MIN,5.34
,,,,,,,,,,,,,,,SP,David Festa (43897382),David Festa,43897382,P,5800,MIN@SD 08/21/2026 09:40PM ET,MIN,0
,,,,,,,,,,,,,,,1B/C,Ben Rice (43896534),Ben Rice,43896534,C/1B,5800,TOR@NYY 08/21/2026 07:05PM ET,NYY,9
,,,,,,,,,,,,,,,SS,Elly De La Cruz (43896536),Elly De La Cruz,43896536,SS,5700,CIN@ARI 08/21/2026 09:40PM ET,CIN,9.30
,,,,,,,,,,,,,,,SP,Marco Gonzales (43897401),Marco Gonzales,43897401,P,5700,LAA@TEX 08/21/2026 08:15PM ET,TEX,4.13
,,,,,,,,,,,,,,,SP,Noah Schultz (43897388),Noah Schultz,43897388,P,5700,NYM@CWS 08/21/2026 07:40PM ET,CWS,8.56
,,,,,,,,,,,,,,,SP,Jonathan Cannon (43897392),Jonathan Cannon,43897392,P,5700,NYM@CWS 08/21/2026 07:40PM ET,CWS,-3.8
,,,,,,,,,,,,,,,RP,Jose Urquidy (43897393),Jose Urquidy,43897393,P,5700,NYM@CWS 08/21/2026 07:40PM ET,CWS,6.51
,,,,,,,,,,,,,,,RP,Carson Palmquist (43897387),Carson Palmquist,43897387,P,5700,WSH@MIA 08/21/2026 07:10PM ET,WSH,1.78
,,,,,,,,,,,,,,,SP,Bradley Blalock (43897389),Bradley Blalock,43897389,P,5700,WSH@MIA 08/21/2026 07:10PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Tyler Phillips (43897391),Tyler Phillips,43897391,P,5700,WSH@MIA 08/21/2026 07:10PM ET,MIA,7.42
,,,,,,,,,,,,,,,RP,Yilber Diaz (43897394),Yilber Diaz,43897394,P,5700,DET@KC 08/21/2026 08:10PM ET,DET,-5.12
,,,,,,,,,,,,,,,RP,Ty Madden (43897395),Ty Madden,43897395,P,5700,DET@KC 08/21/2026 08:10PM ET,DET,7.70
,,,,,,,,,,,,,,,RP,Ryan Bergert (43897396),Ryan Bergert,43897396,P,5700,DET@KC 08/21/2026 08:10PM ET,KC,0
,,,,,,,,,,,,,,,SP,Ben Kudrna (43897397),Ben Kudrna,43897397,P,5700,DET@KC 08/21/2026 08:10PM ET,KC,0
,,,,,,,,,,,,,,,SP,Alec Marsh (43897398),Alec Marsh,43897398,P,5700,DET@KC 08/21/2026 08:10PM ET,KC,0
,,,,,,,,,,,,,,,RP,Connor Thomas (43897399),Connor Thomas,43897399,P,5700,DET@KC 08/21/2026 08:10PM ET,KC,-1.39
,,,,,,,,,,,,,,,RP,Drew Anderson (43897400),Drew Anderson,43897400,P,5700,DET@KC 08/21/2026 08:10PM ET,DET,5.39
,,,,,,,,,,,,,,,RP,Yoendrys Gomez (43897390),Yoendrys Gomez,43897390,P,5700,MIN@SD 08/21/2026 09:40PM ET,MIN,2.88
,,,,,,,,,,,,,,,SP,Miguel Mendez (43897415),Miguel Mendez,43897415,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,0
,,,,,,,,,,,,,,,SP,Keaton Winn (43897416),Keaton Winn,43897416,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,2.42
,,,,,,,,,,,,,,,RP,JT Brubaker (43897417),JT Brubaker,43897417,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,3.00
,,,,,,,,,,,,,,,RP,Carson Seymour (43897418),Carson Seymour,43897418,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,3.01
,,,,,,,,,,,,,,,RP,Jose Butto (43897419),Jose Butto,43897419,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,-0.5
,,,,,,,,,,,,,,,RP,Tristan Beck (43897420),Tristan Beck,43897420,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,0.7
,,,,,,,,,,,,,,,RP,Dylan Smith (43897421),Dylan Smith,43897421,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,3.20
,,,,,,,,,,,,,,,RP,Matt Wilkinson (43897422),Matt Wilkinson,43897422,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,3.9
,,,,,,,,,,,,,,,RP,Trevor McDonald (43897426),Trevor McDonald,43897426,P,5600,SF@BOS 08/21/2026 07:10PM ET,SF,10.13
