Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5212210414,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,1. Column A lists all of your contest entries for this draftgroup
5212210641,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,2. Your current lineup is listed next to each entry (blank for reservations)
5212210642,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5212210643,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5212210644,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,5. For faster processing only include entries you are changing in the file you upload
5212210645,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,
5212210646,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,RP,Tyron Guerrero (43784301),Tyron Guerrero,43784301,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,3.62
,,,,,,,,,,,,,,,RP,Justin Slaten (43784305),Justin Slaten,43784305,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,2.85
,,,,,,,,,,,,,,,RP,Elvis Alvarado (43784308),Elvis Alvarado,43784308,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.41
,,,,,,,,,,,,,,,RP,Tyler Samaniego (43784316),Tyler Samaniego,43784316,P,4000,ATH@BOS 08/08/2026 04:10PM ET,BOS,2.43
,,,,,,,,,,,,,,,RP,Mark Leiter Jr. (43784321),Mark Leiter Jr.,43784321,P,4000,ATH@BOS 08/08/2026 04:10PM ET,ATH,2.54
,,,,,,,,,,,,,,,RP,Jack Ralston (43784257),Jack Ralston,43784257,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Blake Weiman (43784258),Blake Weiman,43784258,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,1.05
,,,,,,,,,,,,,,,RP,Samy Natera Jr. (43784265),Samy Natera Jr.,43784265,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,5.26
,,,,,,,,,,,,,,,RP,Ben Joyce (43784270),Ben Joyce,43784270,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,3.65
,,,,,,,,,,,,,,,RP,Michael Petersen (43784272),Michael Petersen,43784272,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,3.45
,,,,,,,,,,,,,,,RP,Luke Murphy (43784273),Luke Murphy,43784273,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,4.37
,,,,,,,,,,,,,,,RP,Josh White (43784274),Josh White,43784274,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,-10.1
,,,,,,,,,,,,,,,RP,John King (43784276),John King,43784276,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.91
,,,,,,,,,,,,,,,RP,Will Kempner (43784282),Will Kempner,43784282,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,4.82
,,,,,,,,,,,,,,,RP,Jose Fermin (43784290),Jose Fermin,43784290,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,3.67
,,,,,,,,,,,,,,,RP,Ronny Henriquez (43784294),Ronny Henriquez,43784294,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Victor Vodnik (43784295),Victor Vodnik,43784295,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,1.91
,,,,,,,,,,,,,,,RP,Pete Fairbanks (43784297),Pete Fairbanks,43784297,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.76
,,,,,,,,,,,,,,,RP,Tayler Saucedo (43784299),Tayler Saucedo,43784299,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,2.49
,,,,,,,,,,,,,,,RP,Andrew Nardi (43784300),Andrew Nardi,43784300,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.85
,,,,,,,,,,,,,,,RP,Cade Gibson (43784302),Cade Gibson,43784302,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.29
,,,,,,,,,,,,,,,RP,Sam Bachman (43784303),Sam Bachman,43784303,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,2.89
,,,,,,,,,,,,,,,RP,Calvin Faucher (43784306),Calvin Faucher,43784306,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,3.00
,,,,,,,,,,,,,,,RP,Shaun Anderson (43784307),Shaun Anderson,43784307,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,3.76
,,,,,,,,,,,,,,,RP,Tyler Zuber (43784312),Tyler Zuber,43784312,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.62
,,,,,,,,,,,,,,,RP,Zach Brzykcy (43784313),Zach Brzykcy,43784313,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.88
,,,,,,,,,,,,,,,RP,Anthony Bender (43784318),Anthony Bender,43784318,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,3.48
,,,,,,,,,,,,,,,RP,Brandan Bidois (43784319),Brandan Bidois,43784319,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.27
,,,,,,,,,,,,,,,RP,Robert Stephenson (43784320),Robert Stephenson,43784320,P,4000,LAA@MIA 08/08/2026 04:10PM ET,LAA,0
,,,,,,,,,,,,,,,RP,Josh Ekness (43784322),Josh Ekness,43784322,P,4000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.5
,,,,,,,,,,,,,,,RP,Bradley Hanner (43784260),Bradley Hanner,43784260,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,0
,,,,,,,,,,,,,,,RP,Joe Jimenez (43784261),Joe Jimenez,43784261,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,0
,,,,,,,,,,,,,,,SP,Chase Hampton (43784262),Chase Hampton,43784262,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,0
,,,,,,,,,,,,,,,RP,Rolddy Munoz (43784266),Rolddy Munoz,43784266,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,0.9
,,,,,,,,,,,,,,,RP,Dylan Lee (43784269),Dylan Lee,43784269,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,4.07
,,,,,,,,,,,,,,,RP,Kervin Castro (43784277),Kervin Castro,43784277,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,5.25
,,,,,,,,,,,,,,,RP,Danny Young (43784279),Danny Young,43784279,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,0.92
,,,,,,,,,,,,,,,RP,Brent Headrick (43784283),Brent Headrick,43784283,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,4.08
,,,,,,,,,,,,,,,RP,Fernando Cruz (43784285),Fernando Cruz,43784285,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,3.27
,,,,,,,,,,,,,,,RP,Robert Suarez (43784286),Robert Suarez,43784286,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,3.86
,,,,,,,,,,,,,,,RP,Dylan Dodd (43784292),Dylan Dodd,43784292,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,4.20
,,,,,,,,,,,,,,,RP,Tyler Uberstine (43784296),Tyler Uberstine,43784296,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,5.6
,,,,,,,,,,,,,,,RP,James Karinchak (43784298),James Karinchak,43784298,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,3.15
,,,,,,,,,,,,,,,RP,Brendan Beck (43784304),Brendan Beck,43784304,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,0.9
,,,,,,,,,,,,,,,RP,Brent Suter (43784309),Brent Suter,43784309,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,3.67
,,,,,,,,,,,,,,,RP,Tim Hill (43784310),Tim Hill,43784310,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,1.40
,,,,,,,,,,,,,,,RP,David Bednar (43784311),David Bednar,43784311,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,3.99
,,,,,,,,,,,,,,,RP,Yerry de los Santos (43784314),Yerry de los Santos,43784314,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,4.18
,,,,,,,,,,,,,,,RP,Angel Chivilli (43784315),Angel Chivilli,43784315,P,4000,ATL@NYY 08/08/2026 03:05PM ET,NYY,3.09
,,,,,,,,,,,,,,,RP,Tyler Kinley (43784317),Tyler Kinley,43784317,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,2.71
,,,,,,,,,,,,,,,RP,Raisel Iglesias (43784323),Raisel Iglesias,43784323,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,3.10
,,,,,,,,,,,,,,,SP,Duncan Davitt (43784324),Duncan Davitt,43784324,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,1.35
,,,,,,,,,,,,,,,RP,Hayden Harris (43784325),Hayden Harris,43784325,P,4000,ATL@NYY 08/08/2026 03:05PM ET,ATL,0
,,,,,,,,,,,,,,,SS,Jacob Wilson (43784066),Jacob Wilson,43784066,SS,3900,ATH@BOS 08/08/2026 04:10PM ET,ATH,6.84
,,,,,,,,,,,,,,,OF,Jarren Duran (43784068),Jarren Duran,43784068,OF,3900,ATH@BOS 08/08/2026 04:10PM ET,BOS,7.25
,,,,,,,,,,,,,,,2B,Xavier Edwards (43784067),Xavier Edwards,43784067,2B,3900,LAA@MIA 08/08/2026 04:10PM ET,MIA,7.31
,,,,,,,,,,,,,,,OF,Heriberto Hernandez (43784069),Heriberto Hernandez,43784069,OF,3800,LAA@MIA 08/08/2026 04:10PM ET,MIA,6.70
,,,,,,,,,,,,,,,3B,Caleb Durbin (43784071),Caleb Durbin,43784071,3B,3700,ATH@BOS 08/08/2026 04:10PM ET,BOS,6.98
,,,,,,,,,,,,,,,OF,Esteury Ruiz (43784072),Esteury Ruiz,43784072,OF,3700,LAA@MIA 08/08/2026 04:10PM ET,MIA,5.65
,,,,,,,,,,,,,,,2B/3B,Vaughn Grissom (43784073),Vaughn Grissom,43784073,2B/3B,3700,LAA@MIA 08/08/2026 04:10PM ET,LAA,6.44
,,,,,,,,,,,,,,,OF,Lane Thomas (43784070),Lane Thomas,43784070,OF,3700,ATL@NYY 08/08/2026 03:05PM ET,ATL,5.60
,,,,,,,,,,,,,,,SS,Andruw Monasterio (43784076),Andruw Monasterio,43784076,SS,3600,ATH@BOS 08/08/2026 04:10PM ET,BOS,5.8
,,,,,,,,,,,,,,,3B,Austin Riley (43784075),Austin Riley,43784075,3B,3600,ATL@NYY 08/08/2026 03:05PM ET,ATL,6.50
,,,,,,,,,,,,,,,OF,Spencer Jones (43784077),Spencer Jones,43784077,OF,3600,ATL@NYY 08/08/2026 03:05PM ET,NYY,4.63
,,,,,,,,,,,,,,,OF,Henry Bolte (43784079),Henry Bolte,43784079,OF,3500,ATH@BOS 08/08/2026 04:10PM ET,ATH,5.99
,,,,,,,,,,,,,,,2B/3B,Joshua Kuroda-Grauer (43784145),Joshua Kuroda-Grauer,43784145,2B/3B,3500,ATH@BOS 08/08/2026 04:10PM ET,ATH,7.75
,,,,,,,,,,,,,,,OF,Jakob Marsee (43784080),Jakob Marsee,43784080,OF,3500,LAA@MIA 08/08/2026 04:10PM ET,MIA,6.26
,,,,,,,,,,,,,,,1B,Paul Goldschmidt (43784078),Paul Goldschmidt,43784078,1B,3500,ATL@NYY 08/08/2026 03:05PM ET,NYY,6.71
,,,,,,,,,,,,,,,OF,Jasson Dominguez (43784144),Jasson Dominguez,43784144,OF,3500,ATL@NYY 08/08/2026 03:05PM ET,NYY,6.24
,,,,,,,,,,,,,,,OF,Lawrence Butler (43784082),Lawrence Butler,43784082,OF,3400,ATH@BOS 08/08/2026 04:10PM ET,ATH,4.91
,,,,,,,,,,,,,,,SS,Trevor Story (43784148),Trevor Story,43784148,SS,3400,ATH@BOS 08/08/2026 04:10PM ET,BOS,5.98
,,,,,,,,,,,,,,,1B,Nolan Schanuel (43784081),Nolan Schanuel,43784081,1B,3400,LAA@MIA 08/08/2026 04:10PM ET,LAA,6.43
,,,,,,,,,,,,,,,OF,Andrew McCutchen (43784147),Andrew McCutchen,43784147,OF,3400,ATL@NYY 08/08/2026 03:05PM ET,ATL,2.62
,,,,,,,,,,,,,,,2B,Anthony Seigler (43784083),Anthony Seigler,43784083,2B,3300,ATH@BOS 08/08/2026 04:10PM ET,BOS,6.03
,,,,,,,,,,,,,,,3B/OF,Javier Sanoja (43784084),Javier Sanoja,43784084,3B/OF,3300,LAA@MIA 08/08/2026 04:10PM ET,MIA,5.22
,,,,,,,,,,,,,,,OF,Carlos Cortes (43784086),Carlos Cortes,43784086,OF,3200,ATH@BOS 08/08/2026 04:10PM ET,ATH,4.90
,,,,,,,,,,,,,,,3B/SS,Jose Caballero (43784087),Jose Caballero,43784087,3B/SS,3200,ATL@NYY 08/08/2026 03:05PM ET,NYY,6.89
,,,,,,,,,,,,,,,OF,Griffin Conine (43784089),Griffin Conine,43784089,OF,3100,LAA@MIA 08/08/2026 04:10PM ET,MIA,6.34
,,,,,,,,,,,,,,,OF,Wade Meckler (43784090),Wade Meckler,43784090,OF,3100,LAA@MIA 08/08/2026 04:10PM ET,LAA,5.59
,,,,,,,,,,,,,,,OF,Max Schuemann (43784149),Max Schuemann,43784149,OF,3100,ATL@NYY 08/08/2026 03:05PM ET,NYY,3.98
,,,,,,,,,,,,,,,3B,Max Muncy (43784093),Max Muncy,43784093,3B,3000,ATH@BOS 08/08/2026 04:10PM ET,ATH,5.94
,,,,,,,,,,,,,,,1B/2B,Nick Sogard (43784094),Nick Sogard,43784094,1B/2B,3000,ATH@BOS 08/08/2026 04:10PM ET,BOS,5.65
,,,,,,,,,,,,,,,OF,Jose Siri (43784096),Jose Siri,43784096,OF,3000,LAA@MIA 08/08/2026 04:10PM ET,LAA,4.26
,,,,,,,,,,,,,,,C,Agustin Ramirez (43784097),Agustin Ramirez,43784097,C,3000,LAA@MIA 08/08/2026 04:10PM ET,MIA,6.31
,,,,,,,,,,,,,,,1B/OF,Dominic Smith (43784091),Dominic Smith,43784091,1B/OF,3000,ATL@NYY 08/08/2026 03:05PM ET,ATL,5.12
,,,,,,,,,,,,,,,3B,Tommy White (43784099),Tommy White,43784099,3B,2900,ATH@BOS 08/08/2026 04:10PM ET,ATH,4.42
,,,,,,,,,,,,,,,OF,Masataka Yoshida (43784101),Masataka Yoshida,43784101,OF,2900,ATH@BOS 08/08/2026 04:10PM ET,BOS,5.56
,,,,,,,,,,,,,,,1B/2B,Romy Gonzalez (43784150),Romy Gonzalez,43784150,1B/2B,2900,ATH@BOS 08/08/2026 04:10PM ET,BOS,5.32
,,,,,,,,,,,,,,,C,Joe Mack (43784102),Joe Mack,43784102,C,2900,LAA@MIA 08/08/2026 04:10PM ET,MIA,5.59
,,,,,,,,,,,,,,,C,Moises Ballesteros (43784103),Moises Ballesteros,43784103,C,2900,LAA@MIA 08/08/2026 04:10PM ET,LAA,4.60
,,,,,,,,,,,,,,,3B,Amed Rosario (43784098),Amed Rosario,43784098,3B,2900,ATL@NYY 08/08/2026 03:05PM ET,NYY,5.03
,,,,,,,,,,,,,,,OF,Mike Yastrzemski (43784100),Mike Yastrzemski,43784100,OF,2900,ATL@NYY 08/08/2026 03:05PM ET,ATL,4.76
,,,,,,,,,,,,,,,SS,Anthony Volpe (43784152),Anthony Volpe,43784152,SS,2900,ATL@NYY 08/08/2026 03:05PM ET,NYY,5.48
,,,,,,,,,,,,,,,2B,Donovan Walton (43784106),Donovan Walton,43784106,2B,2800,ATH@BOS 08/08/2026 04:10PM ET,ATH,4.92
,,,,,,,,,,,,,,,OF,Owen Caissie (43784108),Owen Caissie,43784108,OF,2800,LAA@MIA 08/08/2026 04:10PM ET,MIA,5.88
,,,,,,,,,,,,,,,OF/SS,Mauricio Dubon (43784104),Mauricio Dubon,43784104,SS/OF,2800,ATL@NYY 08/08/2026 03:05PM ET,ATL,6.93
,,,,,,,,,,,,,,,SS,George Lombard Jr. (43784107),George Lombard Jr.,43784107,SS,2800,ATL@NYY 08/08/2026 03:05PM ET,NYY,8.67
,,,,,,,,,,,,,,,C,Brian Serven (43784109),Brian Serven,43784109,C,2700,ATH@BOS 08/08/2026 04:10PM ET,ATH,4.44
,,,,,,,,,,,,,,,C,Sean Murphy (43784110),Sean Murphy,43784110,C,2700,ATL@NYY 08/08/2026 03:05PM ET,ATL,1.33
,,,,,,,,,,,,,,,3B,Ryan McMahon (43784111),Ryan McMahon,43784111,3B,2600,ATL@NYY 08/08/2026 03:05PM ET,NYY,4.48
,,,,,,,,,,,,,,,OF,Brewer Hicklen (43784153),Brewer Hicklen,43784153,OF,2600,ATL@NYY 08/08/2026 03:05PM ET,ATL,6.62
,,,,,,,,,,,,,,,1B/2B,Jeff McNeil (43784113),Jeff McNeil,43784113,1B/2B,2500,ATH@BOS 08/08/2026 04:10PM ET,ATH,4.83
,,,,,,,,,,,,,,,C,Connor Wong (43784115),Connor Wong,43784115,C,2500,ATH@BOS 08/08/2026 04:10PM ET,BOS,4.90
,,,,,,,,,,,,,,,OF,Nate Eaton (43784154),Nate Eaton,43784154,OF,2500,ATH@BOS 08/08/2026 04:10PM ET,BOS,4.5
,,,,,,,,,,,,,,,C,Mickey Gasper (43784155),Mickey Gasper,43784155,C,2500,ATH@BOS 08/08/2026 04:10PM ET,BOS,4.38
,,,,,,,,,,,,,,,2B,Oswald Peraza (43784112),Oswald Peraza,43784112,2B,2500,LAA@MIA 08/08/2026 04:10PM ET,LAA,4.95
,,,,,,,,,,,,,,,3B,Leo Jimenez (43784116),Leo Jimenez,43784116,3B,2500,LAA@MIA 08/08/2026 04:10PM ET,MIA,3.96
,,,,,,,,,,,,,,,2B/SS,Alika Williams (43784117),Alika Williams,43784117,2B/SS,2400,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.39
,,,,,,,,,,,,,,,2B/SS,Isiah Kiner-Falefa (43784157),Isiah Kiner-Falefa,43784157,2B/SS,2400,ATH@BOS 08/08/2026 04:10PM ET,BOS,5.19
,,,,,,,,,,,,,,,3B,Denzer Guzman (43784120),Denzer Guzman,43784120,3B,2400,LAA@MIA 08/08/2026 04:10PM ET,LAA,5.39
,,,,,,,,,,,,,,,3B,Yoan Moncada (43784156),Yoan Moncada,43784156,3B,2400,LAA@MIA 08/08/2026 04:10PM ET,LAA,4.20
,,,,,,,,,,,,,,,SS,Jim Jarvis (43784119),Jim Jarvis,43784119,SS,2400,ATL@NYY 08/08/2026 03:05PM ET,ATL,4.66
,,,,,,,,,,,,,,,OF,Eli White (43784123),Eli White,43784123,OF,2300,ATH@BOS 08/08/2026 04:10PM ET,BOS,3.72
,,,,,,,,,,,,,,,C,Brian Navarreto (43784122),Brian Navarreto,43784122,C,2300,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.22
,,,,,,,,,,,,,,,C,Travis d'Arnaud (43784124),Travis d'Arnaud,43784124,C,2300,LAA@MIA 08/08/2026 04:10PM ET,LAA,3.44
,,,,,,,,,,,,,,,C,Ali Sanchez (43784121),Ali Sanchez,43784121,C,2300,ATL@NYY 08/08/2026 03:05PM ET,NYY,2.69
,,,,,,,,,,,,,,,OF,Jahmai Jones (43784126),Jahmai Jones,43784126,OF,2200,ATH@BOS 08/08/2026 04:10PM ET,BOS,2.53
,,,,,,,,,,,,,,,OF,Josh Lowe (43784125),Josh Lowe,43784125,OF,2200,LAA@MIA 08/08/2026 04:10PM ET,LAA,4.45
,,,,,,,,,,,,,,,C,Austin Wells (43784127),Austin Wells,43784127,C,2200,ATL@NYY 08/08/2026 03:05PM ET,NYY,4.07
,,,,,,,,,,,,,,,2B,Jonathan Ornelas (43784128),Jonathan Ornelas,43784128,2B,2100,ATH@BOS 08/08/2026 04:10PM ET,ATH,1.6
,,,,,,,,,,,,,,,C,Jake Rogers (43784129),Jake Rogers,43784129,C,2100,ATH@BOS 08/08/2026 04:10PM ET,BOS,4.32
,,,,,,,,,,,,,,,OF,Brent Rooker (43784160),Brent Rooker,43784160,OF,2100,ATH@BOS 08/08/2026 04:10PM ET,ATH,7
,,,,,,,,,,,,,,,SS,Tsung-Che Cheng (43784161),Tsung-Che Cheng,43784161,SS,2100,ATH@BOS 08/08/2026 04:10PM ET,BOS,4.57
,,,,,,,,,,,,,,,2B,Adam Frazier (43784130),Adam Frazier,43784130,2B,2100,LAA@MIA 08/08/2026 04:10PM ET,LAA,3.07
,,,,,,,,,,,,,,,3B,Graham Pauley (43784159),Graham Pauley,43784159,3B,2100,LAA@MIA 08/08/2026 04:10PM ET,MIA,3.34
,,,,,,,,,,,,,,,1B,Triston Casas (43784167),Triston Casas,43784167,1B,2000,ATH@BOS 08/08/2026 04:10PM ET,BOS,0
,,,,,,,,,,,,,,,2B,Kristian Campbell (43784168),Kristian Campbell,43784168,2B,2000,ATH@BOS 08/08/2026 04:10PM ET,BOS,0
,,,,,,,,,,,,,,,SS,Darell Hernaiz (43784175),Darell Hernaiz,43784175,SS,2000,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.79
,,,,,,,,,,,,,,,OF,Denzel Clarke (43784180),Denzel Clarke,43784180,OF,2000,ATH@BOS 08/08/2026 04:10PM ET,ATH,3.04
,,,,,,,,,,,,,,,1B/3B,Brett Harris (43784187),Brett Harris,43784187,1B/3B,2000,ATH@BOS 08/08/2026 04:10PM ET,BOS,1
,,,,,,,,,,,,,,,C,Tyler Heineman (43784131),Tyler Heineman,43784131,C,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,2.58
,,,,,,,,,,,,,,,2B/3B,Anthony Rendon (43784162),Anthony Rendon,43784162,2B/3B,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,0
,,,,,,,,,,,,,,,SS,Jared Serna (43784165),Jared Serna,43784165,SS,2000,LAA@MIA 08/08/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,2B/3B,Maximo Acosta (43784169),Maximo Acosta,43784169,2B/3B,2000,LAA@MIA 08/08/2026 04:10PM ET,MIA,0
,,,,,,,,,,,,,,,OF,Kyren Paris (43784171),Kyren Paris,43784171,OF,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,0
,,,,,,,,,,,,,,,2B/OF,Christian Moore (43784172),Christian Moore,43784172,2B/OF,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,2.67
,,,,,,,,,,,,,,,3B,Nacho Alvarez Jr. (43784174),Nacho Alvarez Jr.,43784174,3B,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,0
,,,,,,,,,,,,,,,OF,Gustavo Campero (43784176),Gustavo Campero,43784176,OF,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,0
,,,,,,,,,,,,,,,C,Sebastian Rivero (43784177),Sebastian Rivero,43784177,C,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,3.12
,,,,,,,,,,,,,,,OF,Bryce Teodosio (43784179),Bryce Teodosio,43784179,OF,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,2.18
,,,,,,,,,,,,,,,C,Logan Porter (43784181),Logan Porter,43784181,C,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,4.33
,,,,,,,,,,,,,,,2B/3B,Pablo Reyes (43784183),Pablo Reyes,43784183,2B/3B,2000,LAA@MIA 08/08/2026 04:10PM ET,LAA,0
,,,,,,,,,,,,,,,1B,Deyvison De Los Santos (43784186),Deyvison De Los Santos,43784186,1B,2000,LAA@MIA 08/08/2026 04:10PM ET,MIA,2.67
,,,,,,,,,,,,,,,SS,Ha-Seong Kim (43784132),Ha-Seong Kim,43784132,SS,2000,ATL@NYY 08/08/2026 03:05PM ET,ATL,1.86
,,,,,,,,,,,,,,,OF,Ben Gamel (43784164),Ben Gamel,43784164,OF,2000,ATL@NYY 08/08/2026 03:05PM ET,ATL,0
,,,,,,,,,,,,,,,OF,Jurickson Profar (43784166),Jurickson Profar,43784166,OF,2000,ATL@NYY 08/08/2026 03:05PM ET,ATL,0
,,,,,,,,,,,,,,,3B,Oswaldo Cabrera (43784178),Oswaldo Cabrera,43784178,3B,2000,ATL@NYY 08/08/2026 03:05PM ET,NYY,0
,,,,,,,,,,,,,,,OF,DaShawn Keirsey Jr. (43784182),DaShawn Keirsey Jr.,43784182,OF,2000,ATL@NYY 08/08/2026 03:05PM ET,ATL,0
,,,,,,,,,,,,,,,C,J.C. Escarra (43784185),J.C. Escarra,43784185,C,2000,ATL@NYY 08/08/2026 03:05PM ET,NYY,3.28
