Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5211218443,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,1. Column A lists all of your contest entries for this draftgroup
5211218638,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,2. Your current lineup is listed next to each entry (blank for reservations)
5211218639,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5211218640,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5211218641,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,5. For faster processing only include entries you are changing in the file you upload
5211218642,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,
5211218643,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,RP,Julian Garcia (43773954),Julian Garcia,43773954,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,4.41
,,,,,,,,,,,,,,,RP,Pierce Johnson (43773956),Pierce Johnson,43773956,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,2.12
,,,,,,,,,,,,,,,RP,Kyle Nicolas (43773958),Kyle Nicolas,43773958,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,1.13
,,,,,,,,,,,,,,,RP,Richard Lovelady (43773961),Richard Lovelady,43773961,P,4000,CIN@WSH 08/07/2026 06:45PM ET,WSH,2.10
,,,,,,,,,,,,,,,RP,Zach Maxwell (43773962),Zach Maxwell,43773962,P,4000,CIN@WSH 08/07/2026 06:45PM ET,CIN,0.41
,,,,,,,,,,,,,,,OF,George Springer (43773696),George Springer,43773696,OF,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,7.29
,,,,,,,,,,,,,,,SP,Ricky Tiedemann (43773893),Ricky Tiedemann,43773893,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Jake Bloss (43773894),Jake Bloss,43773894,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,RP,CJ Van Eyk (43773903),CJ Van Eyk,43773903,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0.32
,,,,,,,,,,,,,,,RP,John Klein (43773910),John Klein,43773910,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,1.85
,,,,,,,,,,,,,,,RP,Kyle Backhus (43773912),Kyle Backhus,43773912,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,2.44
,,,,,,,,,,,,,,,RP,Braydon Fisher (43773913),Braydon Fisher,43773913,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,2.90
,,,,,,,,,,,,,,,RP,Yimi Garcia (43773918),Yimi Garcia,43773918,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,RP,Chad Dallas (43773919),Chad Dallas,43773919,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,3.22
,,,,,,,,,,,,,,,RP,Chase Lee (43773922),Chase Lee,43773922,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,1.04
,,,,,,,,,,,,,,,RP,Jose Alvarado (43773923),Jose Alvarado,43773923,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,2.53
,,,,,,,,,,,,,,,RP,Jhoan Duran (43773926),Jhoan Duran,43773926,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,3.95
,,,,,,,,,,,,,,,RP,Louis Varland (43773929),Louis Varland,43773929,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,4.52
,,,,,,,,,,,,,,,RP,Max Lazar (43773930),Max Lazar,43773930,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,1.9
,,,,,,,,,,,,,,,RP,Orion Kerkering (43773933),Orion Kerkering,43773933,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,3.29
,,,,,,,,,,,,,,,RP,Joe Mantiply (43773934),Joe Mantiply,43773934,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,3.24
,,,,,,,,,,,,,,,RP,Tim Mayza (43773935),Tim Mayza,43773935,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,3.40
,,,,,,,,,,,,,,,RP,Lou Trivino III (43773937),Lou Trivino III,43773937,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,-0.66
,,,,,,,,,,,,,,,RP,Jonathan Bowlan (43773942),Jonathan Bowlan,43773942,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,3.50
,,,,,,,,,,,,,,,RP,Tanner Banks (43773945),Tanner Banks,43773945,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,1.73
,,,,,,,,,,,,,,,RP,Brooks Raley (43773947),Brooks Raley,43773947,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,3.19
,,,,,,,,,,,,,,,RP,Tyler Rogers (43773952),Tyler Rogers,43773952,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,2.30
,,,,,,,,,,,,,,,RP,Brendon Little (43773959),Brendon Little,43773959,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0.98
,,,,,,,,,,,,,,,RP,Lazaro Estrada (43773960),Lazaro Estrada,43773960,P,4000,TOR@PHI 08/07/2026 06:40PM ET,TOR,4.4
,,,,,,,,,,,,,,,RP,Chase Shugart (43773965),Chase Shugart,43773965,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,3.34
,,,,,,,,,,,,,,,RP,Grant Holman (43773966),Grant Holman,43773966,P,4000,TOR@PHI 08/07/2026 06:40PM ET,PHI,0
,,,,,,,,,,,,,,,OF,A.J. Ewing (43773695),A.J. Ewing,43773695,OF,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,7.21
,,,,,,,,,,,,,,,RP,Dylan Ross (43773892),Dylan Ross,43773892,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Nate Lavender (43773895),Nate Lavender,43773895,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,5.32
,,,,,,,,,,,,,,,RP,Khristian Curtis (43773896),Khristian Curtis,43773896,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,16.85
,,,,,,,,,,,,,,,RP,Robert Stock (43773898),Robert Stock,43773898,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,15.45
,,,,,,,,,,,,,,,RP,Jonathan Pintaro (43773900),Jonathan Pintaro,43773900,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,6.64
,,,,,,,,,,,,,,,RP,Austin Warren (43773901),Austin Warren,43773901,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,3.38
,,,,,,,,,,,,,,,RP,Mason Montgomery (43773902),Mason Montgomery,43773902,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,4.10
,,,,,,,,,,,,,,,RP,Devin Williams (43773904),Devin Williams,43773904,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,3.09
,,,,,,,,,,,,,,,RP,Cionel Perez (43773911),Cionel Perez,43773911,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,3.05
,,,,,,,,,,,,,,,RP,Dedniel Nunez (43773917),Dedniel Nunez,43773917,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,4.45
,,,,,,,,,,,,,,,SP,Noah Murdock (43773925),Noah Murdock,43773925,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,5.58
,,,,,,,,,,,,,,,RP,Joey Gerber (43773931),Joey Gerber,43773931,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,2.96
,,,,,,,,,,,,,,,RP,Gregory Soto (43773938),Gregory Soto,43773938,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,3.52
,,,,,,,,,,,,,,,RP,Daniel Duarte (43773939),Daniel Duarte,43773939,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,4.50
,,,,,,,,,,,,,,,RP,Isaac Mattson (43773941),Isaac Mattson,43773941,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,2.03
,,,,,,,,,,,,,,,RP,Evan Sisk (43773949),Evan Sisk,43773949,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,3.94
,,,,,,,,,,,,,,,RP,Jefry Yan (43773950),Jefry Yan,43773950,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,4.45
,,,,,,,,,,,,,,,RP,Brandon Eisert (43773953),Brandon Eisert,43773953,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,2.76
,,,,,,,,,,,,,,,RP,Kirby Yates (43773955),Kirby Yates,43773955,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,2.92
,,,,,,,,,,,,,,,RP,Reed Garrett (43773957),Reed Garrett,43773957,P,4000,NYM@PIT 08/07/2026 06:40PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Camilo Doval (43773963),Camilo Doval,43773963,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,2.44
,,,,,,,,,,,,,,,RP,Yohan Ramirez (43773964),Yohan Ramirez,43773964,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,4.40
,,,,,,,,,,,,,,,RP,Luke Weaver (43773967),Luke Weaver,43773967,P,4000,NYM@PIT 08/07/2026 06:40PM ET,PIT,3.72
,,,,,,,,,,,,,,,C,Harry Ford (43773697),Harry Ford,43773697,C,3900,CIN@WSH 08/07/2026 06:45PM ET,WSH,5.67
,,,,,,,,,,,,,,,1B/OF,Spencer Steer (43773775),Spencer Steer,43773775,1B/OF,3900,CIN@WSH 08/07/2026 06:45PM ET,CIN,6.84
,,,,,,,,,,,,,,,2B/3B,Nick Gonzales (43773698),Nick Gonzales,43773698,2B/3B,3900,NYM@PIT 08/07/2026 06:40PM ET,PIT,7.14
,,,,,,,,,,,,,,,OF,Carson Benge (43773700),Carson Benge,43773700,OF,3900,NYM@PIT 08/07/2026 06:40PM ET,NYM,7.58
,,,,,,,,,,,,,,,OF,Brandon Marsh (43773702),Brandon Marsh,43773702,OF,3800,TOR@PHI 08/07/2026 06:40PM ET,PHI,7.35
,,,,,,,,,,,,,,,3B/OF,Addison Barger (43773777),Addison Barger,43773777,3B/OF,3800,TOR@PHI 08/07/2026 06:40PM ET,TOR,2.56
,,,,,,,,,,,,,,,OF,Jake Mangum (43773701),Jake Mangum,43773701,OF,3800,NYM@PIT 08/07/2026 06:40PM ET,PIT,6.47
,,,,,,,,,,,,,,,2B/SS,Nasim Nunez (43773705),Nasim Nunez,43773705,2B/SS,3700,CIN@WSH 08/07/2026 06:45PM ET,WSH,6.51
,,,,,,,,,,,,,,,1B/3B,Kazuma Okamoto (43773703),Kazuma Okamoto,43773703,1B/3B,3700,TOR@PHI 08/07/2026 06:40PM ET,TOR,7.42
,,,,,,,,,,,,,,,OF,Jacob Young (43773709),Jacob Young,43773709,OF,3600,CIN@WSH 08/07/2026 06:45PM ET,WSH,6.12
,,,,,,,,,,,,,,,2B/3B,Bryson Stott (43773707),Bryson Stott,43773707,2B/3B,3600,TOR@PHI 08/07/2026 06:40PM ET,PHI,7.37
,,,,,,,,,,,,,,,C,Keibert Ruiz (43773713),Keibert Ruiz,43773713,C,3500,CIN@WSH 08/07/2026 06:45PM ET,WSH,6.20
,,,,,,,,,,,,,,,1B/3B,Alec Bohm (43773711),Alec Bohm,43773711,1B/3B,3500,TOR@PHI 08/07/2026 06:40PM ET,PHI,6.19
,,,,,,,,,,,,,,,OF,Luis Robert Jr. (43773710),Luis Robert Jr.,43773710,OF,3500,NYM@PIT 08/07/2026 06:40PM ET,NYM,5.68
,,,,,,,,,,,,,,,3B,Eugenio Suarez (43773714),Eugenio Suarez,43773714,3B,3400,CIN@WSH 08/07/2026 06:45PM ET,CIN,6.07
,,,,,,,,,,,,,,,C,Francisco Alvarez (43773715),Francisco Alvarez,43773715,C,3400,NYM@PIT 08/07/2026 06:40PM ET,NYM,6
,,,,,,,,,,,,,,,2B,Marcus Semien (43773716),Marcus Semien,43773716,2B,3400,NYM@PIT 08/07/2026 06:40PM ET,NYM,6.08
,,,,,,,,,,,,,,,3B,Brady House (43773717),Brady House,43773717,3B,3300,CIN@WSH 08/07/2026 06:45PM ET,WSH,6.44
,,,,,,,,,,,,,,,C,J.T. Realmuto (43773718),J.T. Realmuto,43773718,C,3300,TOR@PHI 08/07/2026 06:40PM ET,PHI,5.92
,,,,,,,,,,,,,,,1B/3B,Mark Vientos (43773779),Mark Vientos,43773779,1B/3B,3300,NYM@PIT 08/07/2026 06:40PM ET,NYM,5.41
,,,,,,,,,,,,,,,2B/OF,Matt McLain (43773721),Matt McLain,43773721,2B/OF,3200,CIN@WSH 08/07/2026 06:45PM ET,CIN,5.87
,,,,,,,,,,,,,,,1B,Andres Chaparro (43773723),Andres Chaparro,43773723,1B,3200,CIN@WSH 08/07/2026 06:45PM ET,WSH,4.89
,,,,,,,,,,,,,,,OF,Joey Wiemer (43773783),Joey Wiemer,43773783,OF,3200,CIN@WSH 08/07/2026 06:45PM ET,WSH,5.72
,,,,,,,,,,,,,,,2B/3B,Ernie Clement (43773719),Ernie Clement,43773719,2B/3B,3200,TOR@PHI 08/07/2026 06:40PM ET,TOR,6.40
,,,,,,,,,,,,,,,C,Alejandro Kirk (43773724),Alejandro Kirk,43773724,C,3200,TOR@PHI 08/07/2026 06:40PM ET,TOR,5.43
,,,,,,,,,,,,,,,1B/OF,Tyler Callihan (43773781),Tyler Callihan,43773781,1B/OF,3200,NYM@PIT 08/07/2026 06:40PM ET,PIT,4.5
,,,,,,,,,,,,,,,2B,Jose Tena (43773726),Jose Tena,43773726,2B,3100,CIN@WSH 08/07/2026 06:45PM ET,WSH,4.16
,,,,,,,,,,,,,,,C,Tyler Stephenson (43773727),Tyler Stephenson,43773727,C,3100,CIN@WSH 08/07/2026 06:45PM ET,CIN,5.76
,,,,,,,,,,,,,,,OF,Bryan De La Cruz (43773728),Bryan De La Cruz,43773728,OF,3100,TOR@PHI 08/07/2026 06:40PM ET,PHI,6.73
,,,,,,,,,,,,,,,SS,Jacob Gonzalez (43773725),Jacob Gonzalez,43773725,SS,3100,NYM@PIT 08/07/2026 06:40PM ET,PIT,5.10
,,,,,,,,,,,,,,,OF,Noelvi Marte (43773733),Noelvi Marte,43773733,OF,3000,CIN@WSH 08/07/2026 06:45PM ET,CIN,5.02
,,,,,,,,,,,,,,,OF,Blake Dunn (43773785),Blake Dunn,43773785,OF,3000,CIN@WSH 08/07/2026 06:45PM ET,CIN,6.87
,,,,,,,,,,,,,,,OF,Justin Crawford (43773734),Justin Crawford,43773734,OF,3000,TOR@PHI 08/07/2026 06:40PM ET,PHI,5.13
,,,,,,,,,,,,,,,1B/C,Rafael Flores Jr. (43773729),Rafael Flores Jr.,43773729,C/1B,3000,NYM@PIT 08/07/2026 06:40PM ET,PIT,3.9
,,,,,,,,,,,,,,,2B/OF,Brett Baty (43773731),Brett Baty,43773731,2B/OF,3000,NYM@PIT 08/07/2026 06:40PM ET,NYM,5.08
,,,,,,,,,,,,,,,SS,Konnor Griffin (43773784),Konnor Griffin,43773784,SS,3000,NYM@PIT 08/07/2026 06:40PM ET,PIT,8.66
,,,,,,,,,,,,,,,2B/3B,Jorbit Vivas (43773737),Jorbit Vivas,43773737,2B/3B,2900,CIN@WSH 08/07/2026 06:45PM ET,WSH,3.87
,,,,,,,,,,,,,,,C,Brandon Valenzuela (43773735),Brandon Valenzuela,43773735,C,2900,TOR@PHI 08/07/2026 06:40PM ET,TOR,5.02
,,,,,,,,,,,,,,,OF,Nathan Lukes (43773739),Nathan Lukes,43773739,OF,2900,TOR@PHI 08/07/2026 06:40PM ET,TOR,4.90
,,,,,,,,,,,,,,,1B,Jared Young (43773736),Jared Young,43773736,1B,2900,NYM@PIT 08/07/2026 06:40PM ET,NYM,5.41
,,,,,,,,,,,,,,,SS,Andres Gimenez (43773741),Andres Gimenez,43773741,SS,2800,TOR@PHI 08/07/2026 06:40PM ET,TOR,5.37
,,,,,,,,,,,,,,,C,Henry Davis (43773740),Henry Davis,43773740,C,2800,NYM@PIT 08/07/2026 06:40PM ET,PIT,4.68
,,,,,,,,,,,,,,,C,Jose Trevino (43773744),Jose Trevino,43773744,C,2700,CIN@WSH 08/07/2026 06:45PM ET,CIN,4.71
,,,,,,,,,,,,,,,OF,TJ Friedl (43773745),TJ Friedl,43773745,OF,2700,CIN@WSH 08/07/2026 06:45PM ET,CIN,4.14
,,,,,,,,,,,,,,,C,Drew Millas (43773787),Drew Millas,43773787,C,2700,CIN@WSH 08/07/2026 06:45PM ET,WSH,3.72
,,,,,,,,,,,,,,,OF/SS,Edmundo Sosa (43773742),Edmundo Sosa,43773742,SS/OF,2700,TOR@PHI 08/07/2026 06:40PM ET,PHI,4.66
,,,,,,,,,,,,,,,OF,Yohendrick Pinango (43773788),Yohendrick Pinango,43773788,OF,2700,TOR@PHI 08/07/2026 06:40PM ET,TOR,4.64
,,,,,,,,,,,,,,,OF,Robert Hassell III (43773786),Robert Hassell III,43773786,OF,2700,NYM@PIT 08/07/2026 06:40PM ET,PIT,0
,,,,,,,,,,,,,,,C,Luis Torrens (43773746),Luis Torrens,43773746,C,2600,NYM@PIT 08/07/2026 06:40PM ET,NYM,4.72
,,,,,,,,,,,,,,,OF,Dane Myers (43773749),Dane Myers,43773749,OF,2500,CIN@WSH 08/07/2026 06:45PM ET,CIN,4.24
,,,,,,,,,,,,,,,2B,Luis Urias (43773750),Luis Urias,43773750,2B,2500,TOR@PHI 08/07/2026 06:40PM ET,TOR,4
,,,,,,,,,,,,,,,OF,Derek Hill (43773751),Derek Hill,43773751,OF,2500,TOR@PHI 08/07/2026 06:40PM ET,PHI,4.20
,,,,,,,,,,,,,,,OF,Rhylan Thomas (43773789),Rhylan Thomas,43773789,OF,2500,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,3B/SS,Jared Triolo (43773747),Jared Triolo,43773747,3B/SS,2500,NYM@PIT 08/07/2026 06:40PM ET,PIT,4.62
,,,,,,,,,,,,,,,1B,Abimelec Ortiz (43773752),Abimelec Ortiz,43773752,1B,2400,CIN@WSH 08/07/2026 06:45PM ET,WSH,4.4
,,,,,,,,,,,,,,,OF,Jesus Sanchez (43773753),Jesus Sanchez,43773753,OF,2400,TOR@PHI 08/07/2026 06:40PM ET,TOR,5.31
,,,,,,,,,,,,,,,OF,Kameron Misner (43773790),Kameron Misner,43773790,OF,2400,TOR@PHI 08/07/2026 06:40PM ET,PHI,3.33
,,,,,,,,,,,,,,,OF,Ivan Johnson (43773758),Ivan Johnson,43773758,OF,2300,CIN@WSH 08/07/2026 06:45PM ET,CIN,1.89
,,,,,,,,,,,,,,,OF,Myles Straw (43773759),Myles Straw,43773759,OF,2300,TOR@PHI 08/07/2026 06:40PM ET,TOR,3.30
,,,,,,,,,,,,,,,OF,Gabriel Rincones Jr. (43773791),Gabriel Rincones Jr.,43773791,OF,2300,TOR@PHI 08/07/2026 06:40PM ET,PHI,3.55
,,,,,,,,,,,,,,,OF,Colby Thomas (43773792),Colby Thomas,43773792,OF,2300,TOR@PHI 08/07/2026 06:40PM ET,PHI,2.94
,,,,,,,,,,,,,,,2B/3B,Jorge Polanco (43773754),Jorge Polanco,43773754,2B/3B,2300,NYM@PIT 08/07/2026 06:40PM ET,NYM,3.73
,,,,,,,,,,,,,,,1B,Eric Wagaman (43773756),Eric Wagaman,43773756,1B,2300,NYM@PIT 08/07/2026 06:40PM ET,NYM,2.78
,,,,,,,,,,,,,,,OF,Jhostynxon Garcia (43773757),Jhostynxon Garcia,43773757,OF,2300,NYM@PIT 08/07/2026 06:40PM ET,PIT,2.24
,,,,,,,,,,,,,,,2B/OF,Davis Schneider (43773760),Davis Schneider,43773760,2B/OF,2200,TOR@PHI 08/07/2026 06:40PM ET,TOR,3.25
,,,,,,,,,,,,,,,OF,Hector Rodriguez (43773762),Hector Rodriguez,43773762,OF,2100,CIN@WSH 08/07/2026 06:45PM ET,CIN,3
,,,,,,,,,,,,,,,2B/3B,Josh Smith (43773763),Josh Smith,43773763,2B/3B,2100,TOR@PHI 08/07/2026 06:40PM ET,TOR,3.88
,,,,,,,,,,,,,,,OF,Andrew Pinckney (43773767),Andrew Pinckney,43773767,OF,2000,CIN@WSH 08/07/2026 06:45PM ET,WSH,8
,,,,,,,,,,,,,,,3B,Ke'Bryan Hayes (43773768),Ke'Bryan Hayes,43773768,3B,2000,CIN@WSH 08/07/2026 06:45PM ET,CIN,2.82
,,,,,,,,,,,,,,,SS,Leo Balcazar (43773797),Leo Balcazar,43773797,SS,2000,CIN@WSH 08/07/2026 06:45PM ET,CIN,0
,,,,,,,,,,,,,,,2B,Juan Brito (43773810),Juan Brito,43773810,2B,2000,CIN@WSH 08/07/2026 06:45PM ET,CIN,4.33
,,,,,,,,,,,,,,,2B,Edwin Arroyo (43773815),Edwin Arroyo,43773815,2B,2000,CIN@WSH 08/07/2026 06:45PM ET,CIN,3.73
,,,,,,,,,,,,,,,C,Will Banfield (43773825),Will Banfield,43773825,C,2000,CIN@WSH 08/07/2026 06:45PM ET,CIN,0
,,,,,,,,,,,,,,,C,Garrett Stubbs (43773769),Garrett Stubbs,43773769,C,2000,TOR@PHI 08/07/2026 06:40PM ET,PHI,1.77
,,,,,,,,,,,,,,,SS,Christian Cairo (43773795),Christian Cairo,43773795,SS,2000,TOR@PHI 08/07/2026 06:40PM ET,PHI,0
,,,,,,,,,,,,,,,OF,Rudy Martin Jr. (43773796),Rudy Martin Jr.,43773796,OF,2000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,1B/3B,Juan Yepez (43773799),Juan Yepez,43773799,1B/3B,2000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,OF,Adolis Garcia (43773801),Adolis Garcia,43773801,OF,2000,TOR@PHI 08/07/2026 06:40PM ET,PHI,5.24
,,,,,,,,,,,,,,,OF,Johan Rojas (43773802),Johan Rojas,43773802,OF,2000,TOR@PHI 08/07/2026 06:40PM ET,PHI,0
,,,,,,,,,,,,,,,C,Willie MacIver (43773803),Willie MacIver,43773803,C,2000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,OF,Anthony Santander (43773804),Anthony Santander,43773804,OF,2000,TOR@PHI 08/07/2026 06:40PM ET,TOR,0
,,,,,,,,,,,,,,,1B/3B,Sean Keys (43773805),Sean Keys,43773805,1B/3B,2000,TOR@PHI 08/07/2026 06:40PM ET,TOR,4.08
,,,,,,,,,,,,,,,1B/2B,Charles McAdoo (43773807),Charles McAdoo,43773807,1B/2B,2000,TOR@PHI 08/07/2026 06:40PM ET,TOR,3.62
,,,,,,,,,,,,,,,OF,Jonatan Clase (43773809),Jonatan Clase,43773809,OF,2000,TOR@PHI 08/07/2026 06:40PM ET,TOR,6.44
,,,,,,,,,,,,,,,C,Rafael Marchan (43773811),Rafael Marchan,43773811,C,2000,TOR@PHI 08/07/2026 06:40PM ET,PHI,2.22
,,,,,,,,,,,,,,,1B/2B,Lenyn Sosa (43773812),Lenyn Sosa,43773812,1B/2B,2000,TOR@PHI 08/07/2026 06:40PM ET,TOR,3.28
,,,,,,,,,,,,,,,1B/OF,Otto Kemp (43773821),Otto Kemp,43773821,1B/OF,2000,TOR@PHI 08/07/2026 06:40PM ET,PHI,0.77
,,,,,,,,,,,,,,,1B/OF,Felix Reyes (43773823),Felix Reyes,43773823,1B/OF,2000,TOR@PHI 08/07/2026 06:40PM ET,PHI,2.92
,,,,,,,,,,,,,,,2B/OF,Ronny Simon (43773765),Ronny Simon,43773765,2B/OF,2000,NYM@PIT 08/07/2026 06:40PM ET,PIT,1
,,,,,,,,,,,,,,,OF,Cristian Pache (43773770),Cristian Pache,43773770,OF,2000,NYM@PIT 08/07/2026 06:40PM ET,NYM,0
,,,,,,,,,,,,,,,OF,Johnathan Rodriguez (43773793),Johnathan Rodriguez,43773793,OF,2000,NYM@PIT 08/07/2026 06:40PM ET,PIT,2.57
,,,,,,,,,,,,,,,SS,Ronny Mauricio (43773794),Ronny Mauricio,43773794,SS,2000,NYM@PIT 08/07/2026 06:40PM ET,NYM,2.82
,,,,,,,,,,,,,,,C,Shawn Ross (43773798),Shawn Ross,43773798,C,2000,NYM@PIT 08/07/2026 06:40PM ET,NYM,8
,,,,,,,,,,,,,,,OF,Billy Cook (43773814),Billy Cook,43773814,OF,2000,NYM@PIT 08/07/2026 06:40PM ET,PIT,1.29
,,,,,,,,,,,,,,,OF,Nick Morabito (43773816),Nick Morabito,43773816,OF,2000,NYM@PIT 08/07/2026 06:40PM ET,NYM,0.4
,,,,,,,,,,,,,,,1B/3B,Nick Yorke (43773817),Nick Yorke,43773817,1B/3B,2000,NYM@PIT 08/07/2026 06:40PM ET,PIT,3.70
,,,,,,,,,,,,,,,C,Hayden Senger (43773819),Hayden Senger,43773819,C,2000,NYM@PIT 08/07/2026 06:40PM ET,NYM,3
,,,,,,,,,,,,,,,SS,Jack Brannigan (43773820),Jack Brannigan,43773820,SS,2000,NYM@PIT 08/07/2026 06:40PM ET,PIT,0
