Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5213207899,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,1. Column A lists all of your contest entries for this draftgroup
5213219422,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,2. Your current lineup is listed next to each entry (blank for reservations)
5213219423,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5213219424,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5213219425,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,5. For faster processing only include entries you are changing in the file you upload
5213219426,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,
5213219427,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,RP,Justin Hagenman (43791273),Justin Hagenman,43791273,P,6900,NYM@PIT 08/09/2026 01:35PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Chayce McDermott (43791274),Chayce McDermott,43791274,P,6900,NYM@PIT 08/09/2026 01:35PM ET,NYM,4.45
,,,,,,,,,,,,,,,SP,Tobias Myers (43791275),Tobias Myers,43791275,P,6900,NYM@PIT 08/09/2026 01:35PM ET,NYM,2.58
,,,,,,,,,,,,,,,RP,Xzavion Curry (43791276),Xzavion Curry,43791276,P,6900,NYM@PIT 08/09/2026 01:35PM ET,NYM,4.77
,,,,,,,,,,,,,,,RP,Joey Wentz (43791268),Joey Wentz,43791268,P,6900,ATL@NYY 08/09/2026 01:35PM ET,ATL,0
,,,,,,,,,,,,,,,SP,Cole Ragans (43791280),Cole Ragans,43791280,P,6800,CHC@KC 08/09/2026 02:10PM ET,KC,13.19
,,,,,,,,,,,,,,,RP,Mike Clevinger (43791279),Mike Clevinger,43791279,P,6800,NYM@PIT 08/09/2026 01:35PM ET,PIT,0
,,,,,,,,,,,,,,,SP,Hurston Waldrep (43791278),Hurston Waldrep,43791278,P,6800,ATL@NYY 08/09/2026 01:35PM ET,ATL,2.33
,,,,,,,,,,,,,,,SP,Davis Martin (43790678),Davis Martin,43790678,P,6700,CLE@CWS 08/09/2026 02:10PM ET,CWS,14.20
,,,,,,,,,,,,,,,SP,Quinn Priester (43791281),Quinn Priester,43791281,P,6700,MIN@MIL 08/09/2026 02:10PM ET,MIL,0
,,,,,,,,,,,,,,,SP,Coleman Crow (43791283),Coleman Crow,43791283,P,6700,MIN@MIL 08/09/2026 02:10PM ET,MIL,4.64
,,,,,,,,,,,,,,,RP,Antonio Senzatela (43791284),Antonio Senzatela,43791284,P,6700,MIN@MIL 08/09/2026 02:10PM ET,MIL,4.46
,,,,,,,,,,,,,,,RP,DL Hall (43791285),DL Hall,43791285,P,6700,MIN@MIL 08/09/2026 02:10PM ET,MIL,3.49
,,,,,,,,,,,,,,,SP,Quinn Mathews (43791282),Quinn Mathews,43791282,P,6700,COL@STL 08/09/2026 02:15PM ET,STL,7.85
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (43791286),Ryan Yarbrough,43791286,P,6700,ATL@NYY 08/09/2026 01:35PM ET,NYY,3.01
,,,,,,,,,,,,,,,RP,Paul Blackburn (43791287),Paul Blackburn,43791287,P,6700,ATL@NYY 08/09/2026 01:35PM ET,NYY,4.41
,,,,,,,,,,,,,,,SP,Cade Povich (43790679),Cade Povich,43790679,P,6600,BAL@TEX 08/09/2026 02:35PM ET,BAL,12
,,,,,,,,,,,,,,,RP,Jacob Latz (43791291),Jacob Latz,43791291,P,6600,BAL@TEX 08/09/2026 02:35PM ET,TEX,4.76
,,,,,,,,,,,,,,,SP,Jack Leiter (43791292),Jack Leiter,43791292,P,6600,BAL@TEX 08/09/2026 02:35PM ET,TEX,12.71
,,,,,,,,,,,,,,,SP,Robby Snelling (43791294),Robby Snelling,43791294,P,6600,LAA@MIA 08/09/2026 01:40PM ET,MIA,3.85
,,,,,,,,,,,,,,,RP,Janson Junk (43791295),Janson Junk,43791295,P,6600,LAA@MIA 08/09/2026 01:40PM ET,MIA,11.03
,,,,,,,,,,,,,,,SP,Max Scherzer (43791293),Max Scherzer,43791293,P,6600,TOR@PHI 08/09/2026 01:35PM ET,TOR,5.27
,,,,,,,,,,,,,,,SP,Noah Cameron (43791290),Noah Cameron,43791290,P,6600,CHC@KC 08/09/2026 02:10PM ET,KC,14.41
,,,,,,,,,,,,,,,RP,Elmer Rodriguez (43791288),Elmer Rodriguez,43791288,P,6600,ATL@NYY 08/09/2026 01:35PM ET,NYY,5.11
,,,,,,,,,,,,,,,SP,Luis Gil (43791289),Luis Gil,43791289,P,6600,ATL@NYY 08/09/2026 01:35PM ET,NYY,5.52
,,,,,,,,,,,,,,,SP,Kumar Rocker (43790680),Kumar Rocker,43790680,P,6500,BAL@TEX 08/09/2026 02:35PM ET,TEX,12.8
,,,,,,,,,,,,,,,RP,Mitch Farris (43791296),Mitch Farris,43791296,P,6500,LAA@MIA 08/09/2026 01:40PM ET,LAA,4.64
,,,,,,,,,,,,,,,RP,Tyler Phillips (43791302),Tyler Phillips,43791302,P,6500,LAA@MIA 08/09/2026 01:40PM ET,MIA,7.31
,,,,,,,,,,,,,,,OF,Pete Crow-Armstrong (43790686),Pete Crow-Armstrong,43790686,OF,6500,CHC@KC 08/09/2026 02:10PM ET,CHC,10.55
,,,,,,,,,,,,,,,RP,Colin Rea (43791301),Colin Rea,43791301,P,6500,CHC@KC 08/09/2026 02:10PM ET,CHC,10.75
,,,,,,,,,,,,,,,RP,Yoendrys Gomez (43791297),Yoendrys Gomez,43791297,P,6500,MIN@MIL 08/09/2026 02:10PM ET,MIN,2.97
,,,,,,,,,,,,,,,RP,Marco Raya (43791298),Marco Raya,43791298,P,6500,MIN@MIL 08/09/2026 02:10PM ET,MIN,4.23
,,,,,,,,,,,,,,,RP,Mike Paredes (43791299),Mike Paredes,43791299,P,6500,MIN@MIL 08/09/2026 02:10PM ET,MIN,5.34
,,,,,,,,,,,,,,,RP,Bryse Wilson (43791300),Bryse Wilson,43791300,P,6500,MIN@MIL 08/09/2026 02:10PM ET,MIL,5.12
,,,,,,,,,,,,,,,SP,Luis Morales (43791303),Luis Morales,43791303,P,6400,ATH@BOS 08/09/2026 01:35PM ET,ATH,-2.24
,,,,,,,,,,,,,,,SP,Luis Severino (43791304),Luis Severino,43791304,P,6400,ATH@BOS 08/09/2026 01:35PM ET,ATH,13.72
,,,,,,,,,,,,,,,SP,Brayan Bello (43791305),Brayan Bello,43791305,P,6400,ATH@BOS 08/09/2026 01:35PM ET,BOS,9.13
,,,,,,,,,,,,,,,RP,Jack Perkins (43791306),Jack Perkins,43791306,P,6400,ATH@BOS 08/09/2026 01:35PM ET,ATH,6.18
,,,,,,,,,,,,,,,RP,Jacob Lopez (43791307),Jacob Lopez,43791307,P,6400,ATH@BOS 08/09/2026 01:35PM ET,ATH,8.88
,,,,,,,,,,,,,,,SP,Johan Oviedo (43791308),Johan Oviedo,43791308,P,6300,ATH@BOS 08/09/2026 01:35PM ET,BOS,1.45
,,,,,,,,,,,,,,,RP,Daniel Espino (43791312),Daniel Espino,43791312,P,6300,CLE@CWS 08/09/2026 02:10PM ET,CLE,4.35
,,,,,,,,,,,,,,,OF,Kyle Schwarber (43790687),Kyle Schwarber,43790687,OF,6300,TOR@PHI 08/09/2026 01:35PM ET,PHI,8.87
,,,,,,,,,,,,,,,RP,Aaron Civale (43791309),Aaron Civale,43791309,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,7.78
,,,,,,,,,,,,,,,SP,Jordan Wicks (43791310),Jordan Wicks,43791310,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,0.66
,,,,,,,,,,,,,,,RP,Ethan Roberts (43791311),Ethan Roberts,43791311,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,1.93
,,,,,,,,,,,,,,,RP,Seth Lugo (43791313),Seth Lugo,43791313,P,6300,CHC@KC 08/09/2026 02:10PM ET,KC,11.85
,,,,,,,,,,,,,,,SP,Javier Assad (43791314),Javier Assad,43791314,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,9.58
,,,,,,,,,,,,,,,SP,David Peterson (43791315),David Peterson,43791315,P,6300,CHC@KC 08/09/2026 02:10PM ET,CHC,9.36
,,,,,,,,,,,,,,,SP,Michael McGreevy (43790681),Michael McGreevy,43790681,P,6300,COL@STL 08/09/2026 02:15PM ET,STL,12.11
,,,,,,,,,,,,,,,OF,Aaron Judge (43790987),Aaron Judge,43790987,OF,6300,ATL@NYY 08/09/2026 01:35PM ET,NYY,9.71
,,,,,,,,,,,,,,,RP,Mason Barnett (43791316),Mason Barnett,43791316,P,6200,ATH@BOS 08/09/2026 01:35PM ET,ATH,5.07
,,,,,,,,,,,,,,,SP,Grayson Rodriguez (43790682),Grayson Rodriguez,43790682,P,6200,LAA@MIA 08/09/2026 01:40PM ET,LAA,7.01
,,,,,,,,,,,,,,,RP,Jose Urquidy (43791320),Jose Urquidy,43791320,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,0.81
,,,,,,,,,,,,,,,RP,Mike Vasil (43791321),Mike Vasil,43791321,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,0
,,,,,,,,,,,,,,,RP,Trevor Richards (43791322),Trevor Richards,43791322,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,4.12
,,,,,,,,,,,,,,,SP,Erick Fedde (43791323),Erick Fedde,43791323,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,8.94
,,,,,,,,,,,,,,,RP,Joe Rock (43791324),Joe Rock,43791324,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,6.21
,,,,,,,,,,,,,,,SP,Noah Schultz (43791326),Noah Schultz,43791326,P,6200,CLE@CWS 08/09/2026 02:10PM ET,CWS,8.56
,,,,,,,,,,,,,,,RP,Antwone Kelly (43791317),Antwone Kelly,43791317,P,6200,NYM@PIT 08/09/2026 01:35PM ET,PIT,2.43
,,,,,,,,,,,,,,,RP,Wilber Dotel (43791318),Wilber Dotel,43791318,P,6200,NYM@PIT 08/09/2026 01:35PM ET,PIT,4.94
,,,,,,,,,,,,,,,RP,Thomas Harrington (43791319),Thomas Harrington,43791319,P,6200,NYM@PIT 08/09/2026 01:35PM ET,PIT,0
,,,,,,,,,,,,,,,SP,Mitch Keller (43791327),Mitch Keller,43791327,P,6200,NYM@PIT 08/09/2026 01:35PM ET,PIT,10.28
,,,,,,,,,,,,,,,RP,Lake Bachar (43791329),Lake Bachar,43791329,P,6200,NYM@PIT 08/09/2026 01:35PM ET,PIT,4.61
,,,,,,,,,,,,,,,RP,Hunter Barco (43791330),Hunter Barco,43791330,P,6200,NYM@PIT 08/09/2026 01:35PM ET,PIT,1.53
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (43791331),Carmen Mlodzinski,43791331,P,6200,NYM@PIT 08/09/2026 01:35PM ET,PIT,9.15
,,,,,,,,,,,,,,,RP,Matthew Liberatore (43791325),Matthew Liberatore,43791325,P,6200,COL@STL 08/09/2026 02:15PM ET,STL,11.26
,,,,,,,,,,,,,,,RP,Zach Agnos (43791328),Zach Agnos,43791328,P,6200,COL@STL 08/09/2026 02:15PM ET,COL,2.85
,,,,,,,,,,,,,,,SP,Gage Jump (43791340),Gage Jump,43791340,P,6100,ATH@BOS 08/09/2026 01:35PM ET,ATH,15.29
,,,,,,,,,,,,,,,RP,Grant Taylor (43791334),Grant Taylor,43791334,P,6100,CLE@CWS 08/09/2026 02:10PM ET,CWS,5.54
,,,,,,,,,,,,,,,SP,Matt Waldron (43791335),Matt Waldron,43791335,P,6100,TOR@PHI 08/09/2026 01:35PM ET,TOR,4.63
,,,,,,,,,,,,,,,RP,Spencer Miles (43791336),Spencer Miles,43791336,P,6100,TOR@PHI 08/09/2026 01:35PM ET,TOR,6.72
,,,,,,,,,,,,,,,RP,Bowden Francis (43791339),Bowden Francis,43791339,P,6100,TOR@PHI 08/09/2026 01:35PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Ryan Feltner (43791332),Ryan Feltner,43791332,P,6100,COL@STL 08/09/2026 02:15PM ET,COL,8.38
,,,,,,,,,,,,,,,RP,Gabriel Hughes (43791333),Gabriel Hughes,43791333,P,6100,COL@STL 08/09/2026 02:15PM ET,COL,12.19
,,,,,,,,,,,,,,,SP,Tekoah Roby (43791341),Tekoah Roby,43791341,P,6100,COL@STL 08/09/2026 02:15PM ET,STL,0
,,,,,,,,,,,,,,,SP,Brycen Mautz (43791342),Brycen Mautz,43791342,P,6100,COL@STL 08/09/2026 02:15PM ET,STL,3.15
,,,,,,,,,,,,,,,RP,Didier Fuentes (43791337),Didier Fuentes,43791337,P,6100,ATL@NYY 08/09/2026 01:35PM ET,ATL,4.78
,,,,,,,,,,,,,,,RP,Victor Mederos (43791338),Victor Mederos,43791338,P,6100,ATL@NYY 08/09/2026 01:35PM ET,ATL,4.42
,,,,,,,,,,,,,,,SP,Austin Gomber (43791343),Austin Gomber,43791343,P,6100,ATL@NYY 08/09/2026 01:35PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Albert Suarez (43791344),Albert Suarez,43791344,P,6000,BAL@TEX 08/09/2026 02:35PM ET,BAL,4.90
,,,,,,,,,,,,,,,RP,Keegan Akin (43791345),Keegan Akin,43791345,P,6000,BAL@TEX 08/09/2026 02:35PM ET,BAL,1.53
,,,,,,,,,,,,,,,SP,Chris Bassitt (43791346),Chris Bassitt,43791346,P,6000,BAL@TEX 08/09/2026 02:35PM ET,BAL,7.56
,,,,,,,,,,,,,,,SP,Trey Gibson (43791347),Trey Gibson,43791347,P,6000,BAL@TEX 08/09/2026 02:35PM ET,BAL,5.73
,,,,,,,,,,,,,,,RP,Mason Fluharty (43791348),Mason Fluharty,43791348,P,6000,TOR@PHI 08/09/2026 01:35PM ET,TOR,2.48
,,,,,,,,,,,,,,,RP,Grant Holmes (43790683),Grant Holmes,43790683,P,6000,ATL@NYY 08/09/2026 01:35PM ET,ATL,12.64
,,,,,,,,,,,,,,,1B,Ben Rice (43790688),Ben Rice,43790688,1B,6000,ATL@NYY 08/09/2026 01:35PM ET,NYY,9.17
,,,,,,,,,,,,,,,RP,Cal Quantrill (43791350),Cal Quantrill,43791350,P,5900,BAL@TEX 08/09/2026 02:35PM ET,TEX,6.16
,,,,,,,,,,,,,,,SS,Bobby Witt Jr. (43790689),Bobby Witt Jr.,43790689,SS,5900,CHC@KC 08/09/2026 02:10PM ET,KC,9.27
,,,,,,,,,,,,,,,SP,Richard Fitts (43791349),Richard Fitts,43791349,P,5900,COL@STL 08/09/2026 02:15PM ET,STL,0
,,,,,,,,,,,,,,,SP,David Davalillo (43791352),David Davalillo,43791352,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,0
,,,,,,,,,,,,,,,SP,Jordan Montgomery (43791353),Jordan Montgomery,43791353,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,0
,,,,,,,,,,,,,,,SP,Leandro Lopez (43791354),Leandro Lopez,43791354,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,0
,,,,,,,,,,,,,,,SP,Jose Corniell (43791355),Jose Corniell,43791355,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,-5.62
,,,,,,,,,,,,,,,SP,Adam Macko (43791356),Adam Macko,43791356,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,2.60
,,,,,,,,,,,,,,,RP,Chase Silseth (43791357),Chase Silseth,43791357,P,5800,BAL@TEX 08/09/2026 02:35PM ET,TEX,2.89
,,,,,,,,,,,,,,,RP,Dax Fulton (43791359),Dax Fulton,43791359,P,5800,LAA@MIA 08/09/2026 01:40PM ET,MIA,5.02
,,,,,,,,,,,,,,,SP,Adam Mazur (43791360),Adam Mazur,43791360,P,5800,LAA@MIA 08/09/2026 01:40PM ET,MIA,0
,,,,,,,,,,,,,,,RP,Anthony Kay (43791358),Anthony Kay,43791358,P,5800,CLE@CWS 08/09/2026 02:10PM ET,CWS,11.45
,,,,,,,,,,,,,,,1B/OF,Bryce Harper (43790690),Bryce Harper,43790690,1B/OF,5800,TOR@PHI 08/09/2026 01:35PM ET,PHI,8.65
,,,,,,,,,,,,,,,SP,Chase Dollander (43791351),Chase Dollander,43791351,P,5800,COL@STL 08/09/2026 02:15PM ET,COL,13.1
,,,,,,,,,,,,,,,RP,Tyler Alexander (43791361),Tyler Alexander,43791361,P,5700,BAL@TEX 08/09/2026 02:35PM ET,TEX,2.7
,,,,,,,,,,,,,,,SP,Bradley Blalock (43791362),Bradley Blalock,43791362,P,5700,LAA@MIA 08/09/2026 01:40PM ET,MIA,0
,,,,,,,,,,,,,,,SP,Caden Dana (43791365),Caden Dana,43791365,P,5700,LAA@MIA 08/09/2026 01:40PM ET,LAA,0
,,,,,,,,,,,,,,,RP,Sam Aldegheri (43791366),Sam Aldegheri,43791366,P,5700,LAA@MIA 08/09/2026 01:40PM ET,LAA,7.15
,,,,,,,,,,,,,,,SP,George Klassen (43791370),George Klassen,43791370,P,5700,LAA@MIA 08/09/2026 01:40PM ET,LAA,2.83
,,,,,,,,,,,,,,,OF,Seiya Suzuki (43790692),Seiya Suzuki,43790692,OF,5700,CHC@KC 08/09/2026 02:10PM ET,CHC,8.60
,,,,,,,,,,,,,,,OF,Juan Soto (43790988),Juan Soto,43790988,OF,5700,NYM@PIT 08/09/2026 01:35PM ET,NYM,9.27
,,,,,,,,,,,,,,,RP,Tanner Gordon (43791363),Tanner Gordon,43791363,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,7.55
,,,,,,,,,,,,,,,SP,Pierson Ohl (43791364),Pierson Ohl,43791364,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,0
,,,,,,,,,,,,,,,SP,Sean Sullivan (43791367),Sean Sullivan,43791367,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,1.89
,,,,,,,,,,,,,,,SP,Tomoyuki Sugano (43791368),Tomoyuki Sugano,43791368,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,10.64
,,,,,,,,,,,,,,,RP,Jose Quintana (43791369),Jose Quintana,43791369,P,5700,COL@STL 08/09/2026 02:15PM ET,COL,6.05
,,,,,,,,,,,,,,,SP,Gunnar Hoglund (43791371),Gunnar Hoglund,43791371,P,5600,ATH@BOS 08/09/2026 01:35PM ET,ATH,0
,,,,,,,,,,,,,,,SP,Kade Morris (43791374),Kade Morris,43791374,P,5600,ATH@BOS 08/09/2026 01:35PM ET,ATH,-2.17
,,,,,,,,,,,,,,,RP,Yunior Tur (43791375),Yunior Tur,43791375,P,5600,ATH@BOS 08/09/2026 01:35PM ET,ATH,-12.8
,,,,,,,,,,,,,,,RP,Seth Johnson (43791376),Seth Johnson,43791376,P,5600,ATH@BOS 08/09/2026 01:35PM ET,ATH,2.99
,,,,,,,,,,,,,,,SP,Luis Medina (43791377),Luis Medina,43791377,P,5600,ATH@BOS 08/09/2026 01:35PM ET,ATH,4.00
,,,,,,,,,,,,,,,RP,Jeffrey Springs (43791381),Jeffrey Springs,43791381,P,5600,ATH@BOS 08/09/2026 01:35PM ET,ATH,8.44
,,,,,,,,,,,,,,,RP,Joey Estes (43791382),Joey Estes,43791382,P,5600,ATH@BOS 08/09/2026 01:35PM ET,ATH,6.15
,,,,,,,,,,,,,,,RP,Jose Suarez (43791383),Jose Suarez,43791383,P,5600,ATH@BOS 08/09/2026 01:35PM ET,ATH,3.44
,,,,,,,,,,,,,,,RP,Brett Kerry (43791373),Brett Kerry,43791373,P,5600,LAA@MIA 08/09/2026 01:40PM ET,LAA,11.65
,,,,,,,,,,,,,,,SP,Jack Kochanowicz (43791379),Jack Kochanowicz,43791379,P,5600,LAA@MIA 08/09/2026 01:40PM ET,LAA,7.26
,,,,,,,,,,,,,,,RP,Ryan Johnson (43791380),Ryan Johnson,43791380,P,5600,LAA@MIA 08/09/2026 01:40PM ET,LAA,5.2
,,,,,,,,,,,,,,,2B,Brandon Lowe (43790693),Brandon Lowe,43790693,2B,5600,NYM@PIT 08/09/2026 01:35PM ET,PIT,8.7
,,,,,,,,,,,,,,,SP,Kodai Senga (43791372),Kodai Senga,43791372,P,5600,NYM@PIT 08/09/2026 01:35PM ET,NYM,5.32
,,,,,,,,,,,,,,,SP,Jonah Tong (43791378),Jonah Tong,43791378,P,5600,NYM@PIT 08/09/2026 01:35PM ET,NYM,7.83
,,,,,,,,,,,,,,,OF,Jackson Chourio (43790694),Jackson Chourio,43790694,OF,5600,MIN@MIL 08/09/2026 02:10PM ET,MIL,9.08
,,,,,,,,,,,,,,,SP,Braxton Garrett (43791384),Braxton Garrett,43791384,P,5500,CHC@KC 08/09/2026 02:10PM ET,CHC,-1.62
,,,,,,,,,,,,,,,C,Hunter Goodman (43790696),Hunter Goodman,43790696,C,5500,COL@STL 08/09/2026 02:15PM ET,COL,8.78
,,,,,,,,,,,,,,,OF,Ronald Acuna Jr. (43790695),Ronald Acuna Jr.,43790695,OF,5500,ATL@NYY 08/09/2026 01:35PM ET,ATL,9.02
,,,,,,,,,,,,,,,C,Ryan Jeffers (43790698),Ryan Jeffers,43790698,C,5400,MIN@MIL 08/09/2026 02:10PM ET,MIN,8.34
,,,,,,,,,,,,,,,OF,Jordan Walker (43790697),Jordan Walker,43790697,OF,5400,COL@STL 08/09/2026 02:15PM ET,STL,9.15
,,,,,,,,,,,,,,,1B,Nick Kurtz (43790990),Nick Kurtz,43790990,1B,5300,ATH@BOS 08/09/2026 01:35PM ET,ATH,9.22
,,,,,,,,,,,,,,,OF,Mike Trout (43790701),Mike Trout,43790701,OF,5300,LAA@MIA 08/09/2026 01:40PM ET,LAA,8.56
,,,,,,,,,,,,,,,1B,Munetaka Murakami (43790699),Munetaka Murakami,43790699,1B,5300,CLE@CWS 08/09/2026 02:10PM ET,CWS,9.46
,,,,,,,,,,,,,,,RP,Ryan Bergert (43791385),Ryan Bergert,43791385,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,0
,,,,,,,,,,,,,,,SP,Ben Kudrna (43791386),Ben Kudrna,43791386,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,0
,,,,,,,,,,,,,,,SP,Alec Marsh (43791387),Alec Marsh,43791387,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,0
,,,,,,,,,,,,,,,RP,Connor Thomas (43791388),Connor Thomas,43791388,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,-10.18
,,,,,,,,,,,,,,,RP,Luinder Avila (43791389),Luinder Avila,43791389,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,6.98
,,,,,,,,,,,,,,,RP,Mitch Spence (43791390),Mitch Spence,43791390,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,-9.27
,,,,,,,,,,,,,,,RP,Daniel Lynch IV (43791391),Daniel Lynch IV,43791391,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,3.00
,,,,,,,,,,,,,,,RP,Mason Black (43791392),Mason Black,43791392,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,3.45
,,,,,,,,,,,,,,,RP,Stephen Kolek (43791394),Stephen Kolek,43791394,P,5300,CHC@KC 08/09/2026 02:10PM ET,KC,11.51
,,,,,,,,,,,,,,,RP,Robert Stock (43791393),Robert Stock,43791393,P,5300,NYM@PIT 08/09/2026 01:35PM ET,NYM,2.6
,,,,,,,,,,,,,,,2B,Brice Turang (43790700),Brice Turang,43790700,2B,5300,MIN@MIL 08/09/2026 02:10PM ET,MIL,9.34
,,,,,,,,,,,,,,,OF,Byron Buxton (43790989),Byron Buxton,43790989,OF,5300,MIN@MIL 08/09/2026 02:10PM ET,MIN,9.39
,,,,,,,,,,,,,,,RP,Ryan Gusto (43790684),Ryan Gusto,43790684,P,5200,LAA@MIA 08/09/2026 01:40PM ET,MIA,6.68
,,,,,,,,,,,,,,,3B,Jose Ramirez (43790702),Jose Ramirez,43790702,3B,5200,CLE@CWS 08/09/2026 02:10PM ET,CLE,8.60
,,,,,,,,,,,,,,,OF,Bryan Reynolds (43790703),Bryan Reynolds,43790703,OF,5200,NYM@PIT 08/09/2026 01:35PM ET,PIT,8.39
,,,,,,,,,,,,,,,1B,Alec Burleson (43790704),Alec Burleson,43790704,1B,5200,COL@STL 08/09/2026 02:15PM ET,STL,8.17
,,,,,,,,,,,,,,,SP,Kyle Freeland (43791395),Kyle Freeland,43791395,P,5200,COL@STL 08/09/2026 02:15PM ET,COL,8.59
,,,,,,,,,,,,,,,OF,Wilyer Abreu (43790705),Wilyer Abreu,43790705,OF,5100,ATH@BOS 08/09/2026 01:35PM ET,BOS,8.17
,,,,,,,,,,,,,,,1B,Willson Contreras (43790706),Willson Contreras,43790706,1B,5100,ATH@BOS 08/09/2026 01:35PM ET,BOS,8.74
,,,,,,,,,,,,,,,1B,Pete Alonso (43790708),Pete Alonso,43790708,1B,5000,BAL@TEX 08/09/2026 02:35PM ET,BAL,8.20
,,,,,,,,,,,,,,,OF,Oneil Cruz (43790991),Oneil Cruz,43790991,OF,5000,NYM@PIT 08/09/2026 01:35PM ET,PIT,10.39
,,,,,,,,,,,,,,,SP,Michael Lorenzen (43790685),Michael Lorenzen,43790685,P,5000,COL@STL 08/09/2026 02:15PM ET,COL,5.08
,,,,,,,,,,,,,,,OF,Mickey Moniak (43790707),Mickey Moniak,43790707,OF,5000,COL@STL 08/09/2026 02:15PM ET,COL,7.99
,,,,,,,,,,,,,,,2B,JJ Wetherholt (43790709),JJ Wetherholt,43790709,2B,5000,COL@STL 08/09/2026 02:15PM ET,STL,7.93
,,,,,,,,,,,,,,,SS,Zach Neto (43790713),Zach Neto,43790713,SS,4900,LAA@MIA 08/09/2026 01:40PM ET,LAA,8.20
,,,,,,,,,,,,,,,3B,Miguel Vargas (43790710),Miguel Vargas,43790710,3B,4900,CLE@CWS 08/09/2026 02:10PM ET,CWS,8.81
