Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5232134955,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,1. Column A lists all of your contest entries for this draftgroup
5232135488,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,2. Your current lineup is listed next to each entry (blank for reservations)
5232135489,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5232135490,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5232135491,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,5. For faster processing only include entries you are changing in the file you upload
5232135492,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,
5232135493,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,RP,Brendan Beck (43947888),Brendan Beck,43947888,P,5500,HOU@NYY 08/27/2026 07:05PM ET,NYY,0.9
,,,,,,,,,,,,,,,OF,Corbin Carroll (43947561),Corbin Carroll,43947561,OF,5500,ARI@SF 08/27/2026 09:45PM ET,ARI,8.85
,,,,,,,,,,,,,,,SP,Coleman Crow (43947889),Coleman Crow,43947889,P,5500,MIL@NYM 08/27/2026 07:10PM ET,MIL,4.64
,,,,,,,,,,,,,,,RP,DL Hall (43947890),DL Hall,43947890,P,5500,MIL@NYM 08/27/2026 07:10PM ET,MIL,4.34
,,,,,,,,,,,,,,,RP,Bryse Wilson (43947891),Bryse Wilson,43947891,P,5500,MIL@NYM 08/27/2026 07:10PM ET,MIL,5.20
,,,,,,,,,,,,,,,RP,Antonio Senzatela (43947892),Antonio Senzatela,43947892,P,5500,MIL@NYM 08/27/2026 07:10PM ET,MIL,4.14
,,,,,,,,,,,,,,,SP,Colton Gordon (43947893),Colton Gordon,43947893,P,5500,MIL@NYM 08/27/2026 07:10PM ET,MIL,1
,,,,,,,,,,,,,,,SP,Quinn Priester (43947894),Quinn Priester,43947894,P,5500,MIL@NYM 08/27/2026 07:10PM ET,MIL,0
,,,,,,,,,,,,,,,SP,Ben Kudrna (43947895),Ben Kudrna,43947895,P,5400,KC@TOR 08/27/2026 07:07PM ET,KC,0
,,,,,,,,,,,,,,,SP,Alec Marsh (43947896),Alec Marsh,43947896,P,5400,KC@TOR 08/27/2026 07:07PM ET,KC,0
,,,,,,,,,,,,,,,RP,Connor Thomas (43947897),Connor Thomas,43947897,P,5400,KC@TOR 08/27/2026 07:07PM ET,KC,-0.62
,,,,,,,,,,,,,,,RP,Luinder Avila (43947898),Luinder Avila,43947898,P,5400,KC@TOR 08/27/2026 07:07PM ET,KC,6.98
,,,,,,,,,,,,,,,RP,Mitch Spence (43947899),Mitch Spence,43947899,P,5400,KC@TOR 08/27/2026 07:07PM ET,KC,-9.27
,,,,,,,,,,,,,,,RP,Daniel Lynch IV (43947900),Daniel Lynch IV,43947900,P,5400,KC@TOR 08/27/2026 07:07PM ET,KC,3.16
,,,,,,,,,,,,,,,RP,Beck Way (43947901),Beck Way,43947901,P,5400,KC@TOR 08/27/2026 07:07PM ET,KC,2.93
,,,,,,,,,,,,,,,1B,Freddie Freeman (43947562),Freddie Freeman,43947562,1B,5400,LAD@ATL 08/27/2026 07:15PM ET,LAD,7.87
,,,,,,,,,,,,,,,1B/OF,Jac Caglianone (43947563),Jac Caglianone,43947563,1B/OF,5300,KC@TOR 08/27/2026 07:07PM ET,KC,7.43
,,,,,,,,,,,,,,,RP,Spencer Miles (43947902),Spencer Miles,43947902,P,5300,KC@TOR 08/27/2026 07:07PM ET,TOR,5.97
,,,,,,,,,,,,,,,RP,Mason Fluharty (43947903),Mason Fluharty,43947903,P,5300,KC@TOR 08/27/2026 07:07PM ET,TOR,2.42
,,,,,,,,,,,,,,,RP,Simeon Woods Richardson (43947904),Simeon Woods Richardson,43947904,P,5300,KC@TOR 08/27/2026 07:07PM ET,TOR,4.19
,,,,,,,,,,,,,,,RP,Bowden Francis (43947905),Bowden Francis,43947905,P,5300,KC@TOR 08/27/2026 07:07PM ET,TOR,0
,,,,,,,,,,,,,,,2B,Brice Turang (43947565),Brice Turang,43947565,2B,5200,MIL@NYM 08/27/2026 07:10PM ET,MIL,9.06
,,,,,,,,,,,,,,,1B,Matt Olson (43947566),Matt Olson,43947566,1B,5100,LAD@ATL 08/27/2026 07:15PM ET,ATL,9.08
,,,,,,,,,,,,,,,RP,Robert Stock (43947906),Robert Stock,43947906,P,5100,MIL@NYM 08/27/2026 07:10PM ET,NYM,5.74
,,,,,,,,,,,,,,,RP,Justin Hagenman (43947907),Justin Hagenman,43947907,P,5100,MIL@NYM 08/27/2026 07:10PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Tobias Myers (43947908),Tobias Myers,43947908,P,5100,MIL@NYM 08/27/2026 07:10PM ET,NYM,2.58
,,,,,,,,,,,,,,,RP,Xzavion Curry (43947909),Xzavion Curry,43947909,P,5100,MIL@NYM 08/27/2026 07:10PM ET,NYM,4.77
,,,,,,,,,,,,,,,RP,Chayce McDermott (43947910),Chayce McDermott,43947910,P,5100,MIL@NYM 08/27/2026 07:10PM ET,NYM,3.21
,,,,,,,,,,,,,,,SP,Kodai Senga (43947911),Kodai Senga,43947911,P,5100,MIL@NYM 08/27/2026 07:10PM ET,NYM,4.59
,,,,,,,,,,,,,,,SP,Jonah Tong (43947912),Jonah Tong,43947912,P,5100,MIL@NYM 08/27/2026 07:10PM ET,NYM,7.83
,,,,,,,,,,,,,,,SS,Jeremy Pena (43947567),Jeremy Pena,43947567,SS,5000,HOU@NYY 08/27/2026 07:05PM ET,HOU,8.74
,,,,,,,,,,,,,,,1B,Luis Garcia Jr. (43947568),Luis Garcia Jr.,43947568,1B,5000,HOU@NYY 08/27/2026 07:05PM ET,NYY,8.08
,,,,,,,,,,,,,,,SP,Kohl Drake (43947552),Kohl Drake,43947552,P,5000,ARI@SF 08/27/2026 09:45PM ET,ARI,6.52
,,,,,,,,,,,,,,,SP,Mitch Bratt (43947913),Mitch Bratt,43947913,P,5000,ARI@SF 08/27/2026 09:45PM ET,ARI,7.94
,,,,,,,,,,,,,,,SP,Dylan Ray (43947914),Dylan Ray,43947914,P,5000,ARI@SF 08/27/2026 09:45PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Gerardo Carrillo (43947915),Gerardo Carrillo,43947915,P,5000,ARI@SF 08/27/2026 09:45PM ET,ARI,7.3
,,,,,,,,,,,,,,,SP,Cristian Mena (43947916),Cristian Mena,43947916,P,5000,ARI@SF 08/27/2026 09:45PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Zac Gallen (43947917),Zac Gallen,43947917,P,5000,ARI@SF 08/27/2026 09:45PM ET,ARI,6.44
,,,,,,,,,,,,,,,SP,Jose Cabrera (43947918),Jose Cabrera,43947918,P,5000,ARI@SF 08/27/2026 09:45PM ET,ARI,6.09
,,,,,,,,,,,,,,,3B,Max Muncy (43947569),Max Muncy,43947569,3B,4900,LAD@ATL 08/27/2026 07:15PM ET,LAD,7.58
,,,,,,,,,,,,,,,2B,Ketel Marte (43947709),Ketel Marte,43947709,2B,4900,ARI@SF 08/27/2026 09:45PM ET,ARI,7.92
,,,,,,,,,,,,,,,C,Drake Baldwin (43947570),Drake Baldwin,43947570,C,4800,LAD@ATL 08/27/2026 07:15PM ET,ATL,8.42
,,,,,,,,,,,,,,,OF,Cody Bellinger (43947571),Cody Bellinger,43947571,OF,4700,HOU@NYY 08/27/2026 07:05PM ET,NYY,7.90
,,,,,,,,,,,,,,,1B/OF,Jake Bauers (43947572),Jake Bauers,43947572,1B/OF,4600,MIL@NYM 08/27/2026 07:10PM ET,MIL,8.65
,,,,,,,,,,,,,,,OF,Andy Pages (43947710),Andy Pages,43947710,OF,4500,LAD@ATL 08/27/2026 07:15PM ET,LAD,8.41
,,,,,,,,,,,,,,,2B,Jazz Chisholm Jr. (43947575),Jazz Chisholm Jr.,43947575,2B,4500,HOU@NYY 08/27/2026 07:05PM ET,NYY,7.93
,,,,,,,,,,,,,,,C,Gabriel Moreno (43947574),Gabriel Moreno,43947574,C,4500,ARI@SF 08/27/2026 09:45PM ET,ARI,8.11
,,,,,,,,,,,,,,,OF,Trent Grisham (43947576),Trent Grisham,43947576,OF,4400,HOU@NYY 08/27/2026 07:05PM ET,NYY,7.46
,,,,,,,,,,,,,,,OF,Giancarlo Stanton (43947711),Giancarlo Stanton,43947711,OF,4400,HOU@NYY 08/27/2026 07:05PM ET,NYY,6.79
,,,,,,,,,,,,,,,SS,Francisco Lindor (43947577),Francisco Lindor,43947577,SS,4400,MIL@NYM 08/27/2026 07:10PM ET,NYM,7.57
,,,,,,,,,,,,,,,1B,Vinnie Pasquantino (43947578),Vinnie Pasquantino,43947578,1B,4300,KC@TOR 08/27/2026 07:07PM ET,KC,6.84
,,,,,,,,,,,,,,,OF,Michael Harris II (43947579),Michael Harris II,43947579,OF,4300,LAD@ATL 08/27/2026 07:15PM ET,ATL,7.76
,,,,,,,,,,,,,,,1B,Rafael Devers (43947581),Rafael Devers,43947581,1B,4200,ARI@SF 08/27/2026 09:45PM ET,SF,7.96
,,,,,,,,,,,,,,,3B,Nolan Arenado (43947582),Nolan Arenado,43947582,3B,4200,ARI@SF 08/27/2026 09:45PM ET,ARI,7.02
,,,,,,,,,,,,,,,OF,Christian Yelich (43947580),Christian Yelich,43947580,OF,4200,MIL@NYM 08/27/2026 07:10PM ET,MIL,7.50
,,,,,,,,,,,,,,,OF,George Springer (43947583),George Springer,43947583,OF,4100,KC@TOR 08/27/2026 07:07PM ET,TOR,6.92
,,,,,,,,,,,,,,,C,Carter Jensen (43947584),Carter Jensen,43947584,C,4100,KC@TOR 08/27/2026 07:07PM ET,KC,6.55
,,,,,,,,,,,,,,,2B,Ozzie Albies (43947586),Ozzie Albies,43947586,2B,4100,LAD@ATL 08/27/2026 07:15PM ET,ATL,7.26
,,,,,,,,,,,,,,,3B,Bo Bichette (43947585),Bo Bichette,43947585,3B,4100,MIL@NYM 08/27/2026 07:10PM ET,NYM,6.87
,,,,,,,,,,,,,,,3B/SS,Maikel Garcia (43947712),Maikel Garcia,43947712,3B/SS,4000,KC@TOR 08/27/2026 07:07PM ET,KC,6.92
,,,,,,,,,,,,,,,SP,Jake Bloss (43947922),Jake Bloss,43947922,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,0
,,,,,,,,,,,,,,,RP,James McArthur (43947923),James McArthur,43947923,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,0
,,,,,,,,,,,,,,,RP,Brendan Cellucci (43947928),Brendan Cellucci,43947928,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Steven Zobac (43947929),Steven Zobac,43947929,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,0
,,,,,,,,,,,,,,,RP,Nolan Hoffman (43947933),Nolan Hoffman,43947933,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,1.7
,,,,,,,,,,,,,,,RP,Luke Little (43947938),Luke Little,43947938,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,1.05
,,,,,,,,,,,,,,,SP,Ricky Tiedemann (43947940),Ricky Tiedemann,43947940,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,4.55
,,,,,,,,,,,,,,,RP,Carlos Estevez (43947942),Carlos Estevez,43947942,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,-14.85
,,,,,,,,,,,,,,,RP,Louis Varland (43947950),Louis Varland,43947950,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,4.55
,,,,,,,,,,,,,,,RP,John Schreiber (43947956),John Schreiber,43947956,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,1.97
,,,,,,,,,,,,,,,RP,Nick Mears (43947959),Nick Mears,43947959,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,2.00
,,,,,,,,,,,,,,,RP,Easton McGee (43947964),Easton McGee,43947964,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,1.15
,,,,,,,,,,,,,,,RP,Aaron Bummer (43947966),Aaron Bummer,43947966,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,0.38
,,,,,,,,,,,,,,,RP,CJ Van Eyk (43947968),CJ Van Eyk,43947968,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,0.32
,,,,,,,,,,,,,,,RP,Craig Kimbrel (43947969),Craig Kimbrel,43947969,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,2.52
,,,,,,,,,,,,,,,RP,John Klein (43947974),John Klein,43947974,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,1.85
,,,,,,,,,,,,,,,RP,Lucas Erceg (43947977),Lucas Erceg,43947977,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,1.33
,,,,,,,,,,,,,,,RP,Jose Cuas (43947985),Jose Cuas,43947985,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,3.17
,,,,,,,,,,,,,,,RP,Alex Lange (43947986),Alex Lange,43947986,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,2.33
,,,,,,,,,,,,,,,RP,Paul Sewald (43947987),Paul Sewald,43947987,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,2.38
,,,,,,,,,,,,,,,RP,Chase Lee (43947988),Chase Lee,43947988,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,0.34
,,,,,,,,,,,,,,,RP,Joe Mantiply (43947999),Joe Mantiply,43947999,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,3.24
,,,,,,,,,,,,,,,RP,Matt Strahm (43948000),Matt Strahm,43948000,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,1.56
,,,,,,,,,,,,,,,RP,Nate Pearson (43948008),Nate Pearson,43948008,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,3.16
,,,,,,,,,,,,,,,RP,Yimi Garcia (43948016),Yimi Garcia,43948016,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,0
,,,,,,,,,,,,,,,RP,Chad Dallas (43948020),Chad Dallas,43948020,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,6.91
,,,,,,,,,,,,,,,RP,Steven Cruz (43948028),Steven Cruz,43948028,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,2.94
,,,,,,,,,,,,,,,RP,Connor Seabold (43948030),Connor Seabold,43948030,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,2.08
,,,,,,,,,,,,,,,RP,Carlos Duran (43948031),Carlos Duran,43948031,P,4000,KC@TOR 08/27/2026 07:07PM ET,KC,1
,,,,,,,,,,,,,,,RP,Brendon Little (43948035),Brendon Little,43948035,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,2.04
,,,,,,,,,,,,,,,RP,Tyler Rogers (43948038),Tyler Rogers,43948038,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,2.24
,,,,,,,,,,,,,,,RP,Braydon Fisher (43948041),Braydon Fisher,43948041,P,4000,KC@TOR 08/27/2026 07:07PM ET,TOR,2.84
,,,,,,,,,,,,,,,RP,Brusdar Graterol (43947919),Brusdar Graterol,43947919,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,0
,,,,,,,,,,,,,,,RP,Jake Cousins (43947920),Jake Cousins,43947920,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,0
,,,,,,,,,,,,,,,RP,Joe Jimenez (43947921),Joe Jimenez,43947921,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Ronan Kopp (43947926),Ronan Kopp,43947926,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,0
,,,,,,,,,,,,,,,RP,Ray Kerr (43947935),Ray Kerr,43947935,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,2.02
,,,,,,,,,,,,,,,RP,Kyle Hurt (43947939),Kyle Hurt,43947939,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,3.37
,,,,,,,,,,,,,,,RP,Hayden Harris (43947941),Hayden Harris,43947941,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Will Klein (43947943),Will Klein,43947943,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,3.58
,,,,,,,,,,,,,,,RP,Ben Casparius (43947946),Ben Casparius,43947946,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,0.5
,,,,,,,,,,,,,,,RP,Edwin Diaz (43947947),Edwin Diaz,43947947,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,1.12
,,,,,,,,,,,,,,,RP,Paul Gervase (43947952),Paul Gervase,43947952,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,5.51
,,,,,,,,,,,,,,,RP,Tyler Uberstine (43947953),Tyler Uberstine,43947953,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,5.6
,,,,,,,,,,,,,,,RP,Jack Dreyer (43947954),Jack Dreyer,43947954,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,3.65
,,,,,,,,,,,,,,,RP,Dylan Dodd (43947962),Dylan Dodd,43947962,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,3.81
,,,,,,,,,,,,,,,RP,Edgardo Henriquez (43947963),Edgardo Henriquez,43947963,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,3.48
,,,,,,,,,,,,,,,RP,Rolddy Munoz (43947965),Rolddy Munoz,43947965,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,0.9
,,,,,,,,,,,,,,,RP,Brent Suter (43947973),Brent Suter,43947973,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,3.92
,,,,,,,,,,,,,,,RP,James Karinchak (43947978),James Karinchak,43947978,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,3.15
,,,,,,,,,,,,,,,RP,Charlie Barnes (43947982),Charlie Barnes,43947982,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,1.25
,,,,,,,,,,,,,,,RP,Raisel Iglesias (43947991),Raisel Iglesias,43947991,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,3.13
,,,,,,,,,,,,,,,RP,Brock Stewart (43947995),Brock Stewart,43947995,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,3.38
,,,,,,,,,,,,,,,RP,Evan Phillips (43948001),Evan Phillips,43948001,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,2.27
,,,,,,,,,,,,,,,RP,Blake Treinen (43948003),Blake Treinen,43948003,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,2.78
,,,,,,,,,,,,,,,RP,Tanner Scott (43948009),Tanner Scott,43948009,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,3.34
,,,,,,,,,,,,,,,SP,Duncan Davitt (43948012),Duncan Davitt,43948012,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,1.35
,,,,,,,,,,,,,,,RP,Dylan Lee (43948019),Dylan Lee,43948019,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,3.77
,,,,,,,,,,,,,,,RP,Robert Suarez (43948026),Robert Suarez,43948026,P,4000,LAD@ATL 08/27/2026 07:15PM ET,ATL,3.86
,,,,,,,,,,,,,,,RP,Alex Vesia (43948034),Alex Vesia,43948034,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,2.72
,,,,,,,,,,,,,,,RP,Seth Halvorsen (43948045),Seth Halvorsen,43948045,P,4000,LAD@ATL 08/27/2026 07:15PM ET,LAD,1.83
,,,,,,,,,,,,,,,2B,Jose Altuve (43947588),Jose Altuve,43947588,2B,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,6.97
,,,,,,,,,,,,,,,RP,Steven Okert (43947930),Steven Okert,43947930,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,3.61
,,,,,,,,,,,,,,,RP,Angel Chivilli (43947937),Angel Chivilli,43947937,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,3.09
,,,,,,,,,,,,,,,RP,Bennett Sousa (43947949),Bennett Sousa,43947949,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,1.89
,,,,,,,,,,,,,,,RP,Josh Hader (43947955),Josh Hader,43947955,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,4.66
,,,,,,,,,,,,,,,RP,Bryan Abreu (43947958),Bryan Abreu,43947958,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,3.20
,,,,,,,,,,,,,,,RP,Logan VanWey (43947967),Logan VanWey,43947967,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,4.5
,,,,,,,,,,,,,,,RP,Brent Headrick (43947970),Brent Headrick,43947970,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,3.99
,,,,,,,,,,,,,,,RP,Yerry de los Santos (43947975),Yerry de los Santos,43947975,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,4.21
,,,,,,,,,,,,,,,RP,Fernando Cruz (43947976),Fernando Cruz,43947976,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,3.12
,,,,,,,,,,,,,,,RP,Bryan King (43947983),Bryan King,43947983,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,2.16
,,,,,,,,,,,,,,,RP,Enyel De Los Santos (43947993),Enyel De Los Santos,43947993,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,2.57
,,,,,,,,,,,,,,,RP,Kervin Castro (43947994),Kervin Castro,43947994,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,5.05
,,,,,,,,,,,,,,,RP,Justin Topa (43948004),Justin Topa,43948004,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,0.41
,,,,,,,,,,,,,,,SP,Miguel Ullola (43948015),Miguel Ullola,43948015,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,5.62
,,,,,,,,,,,,,,,RP,Bradley Hanner (43948018),Bradley Hanner,43948018,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,3.8
,,,,,,,,,,,,,,,RP,Tim Hill (43948021),Tim Hill,43948021,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,1.54
,,,,,,,,,,,,,,,RP,David Bednar (43948022),David Bednar,43948022,P,4000,HOU@NYY 08/27/2026 07:05PM ET,NYY,4.11
,,,,,,,,,,,,,,,RP,Alimber Santa (43948037),Alimber Santa,43948037,P,4000,HOU@NYY 08/27/2026 07:05PM ET,HOU,4.01
,,,,,,,,,,,,,,,SS,Geraldo Perdomo (43947589),Geraldo Perdomo,43947589,SS,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,7.30
,,,,,,,,,,,,,,,3B,Casey Schmitt (43947714),Casey Schmitt,43947714,3B,4000,ARI@SF 08/27/2026 09:45PM ET,SF,8.02
,,,,,,,,,,,,,,,RP,Blake Walston (43947924),Blake Walston,43947924,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Rowan Wick (43947925),Rowan Wick,43947925,P,4000,ARI@SF 08/27/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Juan Morillo (43947931),Juan Morillo,43947931,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,3.40
,,,,,,,,,,,,,,,RP,Ryan Walker (43947945),Ryan Walker,43947945,P,4000,ARI@SF 08/27/2026 09:45PM ET,SF,1.10
,,,,,,,,,,,,,,,RP,Jonathan Loaisiga (43947948),Jonathan Loaisiga,43947948,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,2.73
,,,,,,,,,,,,,,,RP,Taylor Clarke (43947951),Taylor Clarke,43947951,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,2.35
,,,,,,,,,,,,,,,RP,Anthony Molina (43947957),Anthony Molina,43947957,P,4000,ARI@SF 08/27/2026 09:45PM ET,SF,4.9
,,,,,,,,,,,,,,,RP,Ryan Thompson (43947960),Ryan Thompson,43947960,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,1.91
,,,,,,,,,,,,,,,RP,Joel Peguero (43947961),Joel Peguero,43947961,P,4000,ARI@SF 08/27/2026 09:45PM ET,SF,1.81
,,,,,,,,,,,,,,,RP,Trent Harris (43947979),Trent Harris,43947979,P,4000,ARI@SF 08/27/2026 09:45PM ET,SF,3.66
,,,,,,,,,,,,,,,RP,Juan Burgos (43947980),Juan Burgos,43947980,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,1.28
,,,,,,,,,,,,,,,RP,Dennis Santana (43947981),Dennis Santana,43947981,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,1.96
,,,,,,,,,,,,,,,RP,Brandyn Garcia (43947984),Brandyn Garcia,43947984,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,2.92
,,,,,,,,,,,,,,,RP,Andrew Saalfrank (43947996),Andrew Saalfrank,43947996,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Reiver Sanmartin (43947997),Reiver Sanmartin,43947997,P,4000,ARI@SF 08/27/2026 09:45PM ET,SF,2
,,,,,,,,,,,,,,,RP,Drey Jameson (43948002),Drey Jameson,43948002,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,2.46
,,,,,,,,,,,,,,,RP,Justin Martinez (43948005),Justin Martinez,43948005,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,4.12
,,,,,,,,,,,,,,,RP,Kade Strowd (43948006),Kade Strowd,43948006,P,4000,ARI@SF 08/27/2026 09:45PM ET,ARI,-0.15
,,,,,,,,,,,,,,,RP,Matt Gage (43948007),Matt Gage,43948007,P,4000,ARI@SF 08/27/2026 09:45PM ET,SF,1.76
